"","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","maen"
"1",21,1,9,1,14,19,1,25,30,20,5,23,16,30,4,23,19,33,2,7,17,5,43,49,32,27,14,43,16,16,52,12,0,41,14,27,1,9,0,31,25,13,38,0,19,32,0,18,29,28,28,11,17,17,22,17,56,0,21,0,0,32,5,11,46,15,7,9,17,22,24,17,36,17,10,55,9,9,8,10,18,35,0,11,24,25,2,4,1,12,0,11,58,4,49,10,22,15,8,37,33,9,22,25,27,9,7,36,42,20,2,18.7387387387387
"2",16,7,3,3,13,6,3,22,25,21,11,24,37,31,4,0,19,4,2,10,8,4,37,20,28,22,10,55,18,12,0,4,0,30,9,33,9,8,0,17,14,10,27,0,0,21,0,12,23,24,12,16,4,5,13,10,15,0,5,0,0,12,2,8,43,7,2,7,30,27,17,5,20,5,28,52,1,18,11,9,20,28,20,13,19,17,3,7,4,6,0,3,17,19,41,3,10,10,3,28,30,6,0,8,21,26,7,39,35,22,3,14.1261261261261
"3",20,2,3,2,8,11,2,18,26,28,15,33,14,18,7,10,15,12,4,17,10,9,20,41,0,22,14,30,6,19,0,9,0,59,6,27,3,8,0,0,8,45,21,0,0,11,13,0,19,30,22,17,15,4,7,18,45,7,13,5,0,25,3,10,48,3,5,3,26,35,18,4,31,28,24,55,3,19,37,19,19,13,9,0,26,0,7,7,2,7,0,15,9,3,41,6,13,29,27,24,22,4,0,30,27,18,5,28,50,13,6,15.3513513513514
"4",16,2,2,2,38,38,2,24,22,43,21,48,25,39,49,44,38,20,9,5,9,9,33,55,0,25,14,42,39,43,0,12,0,48,7,24,8,9,0,0,29,57,32,0,14,0,20,0,28,41,25,15,12,3,21,23,77,20,26,19,0,28,4,21,52,13,4,23,62,59,30,4,15,18,26,58,11,5,55,7,23,23,0,0,23,22,18,12,6,28,0,24,9,25,50,5,13,33,4,26,17,4,0,32,40,21,6,21,17,23,4,21.1711711711712
"5",15,1,0,2,7,35,3,19,21,38,20,44,9,0,10,54,21,15,14,2,6,56,24,35,0,41,17,32,44,33,0,13,0,0,3,32,20,8,25,0,25,53,33,0,16,0,0,0,28,36,25,26,28,2,15,38,41,5,18,22,0,19,6,24,44,30,15,21,40,51,29,1,17,30,28,55,10,9,41,8,18,9,0,0,25,23,20,15,5,29,0,27,9,36,49,12,9,24,5,22,12,3,0,28,43,32,7,26,25,27,2,19.3693693693694
"6",18,29,3,6,0,28,6,17,25,45,22,47,31,48,23,30,23,26,26,16,7,61,38,45,0,34,15,20,29,33,0,10,0,0,0,25,18,8,23,0,25,70,36,0,16,13,0,0,33,39,21,28,17,3,24,38,30,4,26,30,0,14,9,13,48,49,36,37,49,56,31,17,13,33,18,53,11,7,37,70,26,31,17,0,20,0,22,5,6,33,0,27,10,24,48,43,15,38,52,19,0,6,26,39,40,30,11,37,31,23,2,23.1531531531532
"7",17,22,4,4,13,46,4,0,27,45,17,41,11,4,52,59,34,21,22,11,6,33,28,40,25,39,18,23,18,27,0,8,0,0,0,42,19,4,22,0,30,66,43,0,13,10,27,8,35,38,33,28,16,1,23,32,62,5,40,28,0,13,9,23,44,17,42,29,52,52,33,38,16,36,42,55,12,5,28,5,27,22,23,0,22,21,18,15,24,20,0,31,7,22,43,15,17,29,9,24,0,3,37,31,46,29,11,18,29,34,2,22.7387387387387
"8",17,3,2,6,8,40,8,0,24,37,64,43,21,6,8,52,30,14,10,17,25,21,33,45,32,44,16,19,42,38,0,13,0,0,0,25,23,10,34,0,41,59,22,0,12,7,24,7,27,42,39,23,20,1,31,32,0,8,34,24,0,15,4,19,47,23,32,33,66,58,30,3,17,5,27,52,13,7,40,6,30,24,18,0,17,21,14,13,7,12,0,16,6,34,48,14,18,40,28,19,0,5,0,34,47,31,12,15,41,29,3,21.4054054054054
"9",16,4,5,5,9,52,10,32,31,35,63,40,24,7,14,29,37,17,32,5,3,26,32,46,25,33,19,33,24,43,0,17,0,0,4,42,33,11,30,18,35,53,28,18,10,15,18,0,26,34,34,28,19,1,25,22,44,6,22,27,0,3,2,17,47,65,46,24,58,29,24,8,27,27,21,50,17,3,30,7,33,19,28,0,19,22,16,9,5,29,9,13,11,19,53,14,14,23,38,24,0,2,0,12,16,31,17,16,26,30,4,21.8738738738739
