variable,H2,CO2,CH4,Formate,Acetate,Propionate,Butyrate,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_67,ID_68,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_89,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_98,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111
1,0.681286240234994,0,-0.0208329581489769,0,0,-0.0745921914260412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00875215604592657,0.039050327286359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0690477674120217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0858808848584609,0,0,0,0,0,0,0,0,0
2,0,0.102274446121868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105083558017772,0,0,0,-0.464413087797244,0,0,0,0,0,0,0,0,0,0,0,-0.157306742283808,0,0,-0.316166846835684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648455447085728,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0.392023086780283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222510630166841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,-0.0838202543310064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.104755390459696,0,0,0,0.761825790246903,-0.189960961638205,0,0,0,0,0,0,-0.0869743432351069,0,0,0,-0.00627142553184871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0803517613182561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0561016803953898,0,0,0,0,-0.0200343709338567,0,0,-0.0441376217849111,0.09423685814245,0,0,-0.0435284323585445,0,0,0,0,0,0,0,0,0,0,0,-0.0503924941528037,0,0,-0.0156227842799504,0,0,0,0,0,-0.0301061699120391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0.808434818118863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309557661564741,0,0,0,-0.533028550667486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11014345581885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0672388313654861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.36079680206047,-0.0720411706292781,-0.301931628395828,-0.0360755992866372,0,-0.301715937696995,0.102170728331695,0,-0.0654377601594894,0,-0.115126504959038,0,-0.185902214175697,0,-0.0684441805240339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0588044344134662,-0.0621452058954452,0,0,-0.329760141746524,0,0,-0.031908004976555,0,0,0,0,0,0.0485700354876343,0,0,0.137892450622052,0,0,0,0,0,-0.270074673286087,0,0,0,0,0,0,0,0,0.108259175676835,0,0,-0.151701996911999,0,0,-0.0664079738575046,0.500156357870555,0,0,0,0,-0.2075875611836,0,0.00348880792254312,0,0,0,0,0.102288401026805,0.179744882779927,-0.0107850799619084,-0.190861120809592,0,0,0.137019265466529,0,0,-0.0815913511308764,0,0,-0.169073319507049,0,-0.080421967249763,0,-0.0942812666280299,0,-0.137381396678041,0,0,0,-0.191188204555987,0,0.438667109048012,0.300987424084585,0,0,-0.23353600542096,0.230173329637907,0,0,0,0,-0.213318663408738,0,-0.100329518635768,0,0
8,0.00246965659734704,0.00539417305722348,0,0,-0.0442304851224494,0,0,0.23008885644023,0,0,0,0,0,0,0,0.0900703468101416,0.022655968536024,0,0,0,0,0,0,0,0,0,0,0,0,-0.184461567665785,0.0801940309081983,0,0,0,0.193781576130599,0,-0.0956957990774525,0,0,0,0,0,0,0,0,-0.0583183681270956,0,0,0.05082294670126,0,0,0,0,0,0.181660685573048,0,0,0.0492842645748254,0,0,0,0,0.201371429115241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123120140816751,0,0
9,0.0546846734168077,0.0779739998172955,-0.0228691372052162,0.080898583718604,-0.00623306282303015,0.0695105161140415,0.00126880808873788,0,0.439652494369918,0,0.0311003471548385,0,0,0,0.019935035518734,0,0.0843914847407813,0.0102846639012549,0.0147653644895502,0,0,0,-0.016805177068156,-0.114189370468771,0,0,0,0,0,-0.131299586438755,-0.0131851753608289,0,0,0,0.033480972731904,0,0.00844368804325906,0,0,0,0,0,-0.0528975287912216,-0.0157544533736476,0,-0.0703370842244831,0,0,-6.01771194498376e-4,0.0278659484716269,0,0,0,0.0531002775338858,0,0.0322522823764598,0,0.124626839663398,0,0,0.017125300459557,0,0,-0.0194418948679424,-0.00621625346278047,0,0.149825686373221,-0.0128021112206185,0,0,0.154554556264384,0,0.0702273379437466,0,0,0,0.0773945629731038,-0.00124952834035059,0,0,3.40477394749049e-4,0,0.0354961763000452,0,0,0.0492623307827005,0.018275443711494,0.0791977829974576,-0.0348538592086686,0,0,0.0117455980622494,0,0,0,0,0.0154835713570491,0,0,0,0,-0.00545012181237648,0.0271188923203399,0,0.0577239422947689,0,0.0618729031705397,0,0,0,0,0,0,0,0,-0.0228230789314821,0,0.0678488299863529
10,0,0,0,0,0,0,0,0,0,1.00510117743473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113467430689909,0,0
11,0,0,0,0,0,0,0,0,0,0,0.921249530035743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0.998865734993299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84580049349745e-17,0,0
13,0.0135564963392836,0.0628375481795657,-0.0119925833837647,0.0769657692193079,0,0.00846466484143147,0,0,0,0,0,0,0.70550287562888,0,0.110698388642075,0,0.102889576581566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156771547381878,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00184677711617649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583312505357629,-0.00617998708010986,0,0,0.109591511094495,0,0,0,0,0,0,0,0,0,0,0,0.0399508857950795,0,0,0.0125675157827287,0,0.0280949965079547,0,0,0,0.013275320918542,0,0,0,0,0,0,0,-0.0083092342711836,0,0,0,0,0.111998966156409,0,0,0.0816544290556883,0,0,0,0,0,0,0,-0.0361351191527319,0,0
14,0.0023712605885246,0.0808885533601057,0,0.0825961362388231,0,0.0429147122054314,0,0,0,0,0,0,0,0.797917055935562,0.0349839419656783,0,0.179749348483789,0,0,0,0,0,0,-0.0616899587674975,0,0,0,0,0,-0.0960208832968834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12231421555618,0,0,0,0,0,0,0,0.0357803296908319,0,0,0,0.0644708349392114,0,0,0,0,0,0,0,0,0.22133842000248,-0.0100990727787745,0,0,0.135798487853201,0,0,0,0,0,0.00992252903415412,0,0,0,0,0,0.0144429176460868,0,0,0,0,0.0450467516144762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305805826230485,0,0
15,0,0,0,0,0,0.026563240301031,0,0,0,0,0,0,0,0,1.08037755235715,0,0,0,0,0,0,0,0,-0.00207324325436491,0,0,0,0,0,-0.0357929511316215,0,0,0,0,0,0,0,0,0,0,0,0,-0.046771728919638,0,0,-0.00614178903545335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617697720374718,0,0,0.0576576161475435,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.0121701376452639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898091030387299,0,0,0,0,0,0,0,-0.00910800891491412,0,0,0,0,0,0,-0.0398083653889438,0,0,0,0,-0.00841032384457405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141220402912272,0,0,-0.0215728942371172,0,0.0283935812240952,0.138007406716006,0,0,0,0,0,0,-0.074260989185945,0,0,0,-0.00260066481756049,0,0,0,0,0,0,0,0,0.193124758749753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578971353406661,0,0,0,0,0,0,0,0,-0.0310369668165252,0,-0.0657986545668943,0,0,0,0,0,-0.00420135376283288,0,0,0,0,0,0,0,-0.0256787656128615,0,0
17,0,0,0,0,-0.0721630568914231,0,0,0,0,0,0,0,0,0,0,0,0.519563218755403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715745789220218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455120875480587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.00768915379990022,0.0965522479507722,-0.00400523463325093,0.0696351107835837,-0.0155097821568085,0.0215725061303934,0,0,0,0,0.0101709807308036,0,0,0,0.0553690037082056,0,0.0608265394634636,0.8013745050804,0,0,0,0,-0.00683441262026662,-0.0189884776772853,0,0,0,0,0,-0.0318665303234801,0,0,0,0,0,-0.0408321316007042,0.00242276061243789,0,0.00608924312014324,0,0,0,0.00377650531179693,0,0,-0.0174110826407804,0,0,-0.0426587220992754,0,0,0,0,0.0486089297696644,0,0,0,0.0534537467403313,0,0,0,0,0.00440426254909988,0,0,0.00110518662870925,0.0334743832563174,0,0,0,0.0533488085277015,0,0.0114319253094203,0,0,0.019296433272186,0.02319548692649,0,0,0,0,0,0.0202621468428481,0.0248087797689348,0,0.0877262858654579,0.0147672029995404,0.064061495169197,0,0,0,0.00116052742490639,0,0.00141505461700974,-0.00418630825387798,0,0.00822493442145439,0,0,-0.0804162698663008,0,-0.0198261242091096,0.00561115253259943,0,0.0449367438601088,-0.102059355968757,0,0,0,0,0,0,0,0.00343387835869658,0,0,0,0
19,5.30420626299948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114848615800109,0,0.383398149155469,0,0.11696896046668,0,0,0,0,0,0,0,0,-0.06041847472007,0.063420308997856,0,0,0,0.0592878930883608,0,0,0,0,0,0,0,0,0,0,-0.0475251645349165,0,0,0,0.0328671688238365,0,0,0,0,0.0847848126526492,0,0,0,0.027166847064324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144023350248424,0,0,0,0,0.0179360709938164,0,0,0,0,0,0,0,0,0,0,0,0.0123218769224632,0,0,0,0,0,0,0,0,0,0,0.0292148177751387,0,0,0,0.00597321029875076,0,0.0145886360574031,0,0,0,0,0,-0.0623585366529277,0,0
20,0.010865875733681,0.0448907744515883,-0.00201209106673717,0.0710689570733717,0,0.0191432760077804,0,0,0,0,0,0,0.00889850401520866,0,-0.00221476659053181,0,0.0538014250385922,0,0,0.602767324183639,0,0.0300302431080618,0,-0.0883380654736695,0,0,0,0,0,-0.165267451095436,0,0,0,0.00444108397596049,0,0,0,0,0,0,0,0,-0.0421530561489432,0,0,-0.0758284916006277,0,0,-0.0381971915571616,0,0,0,0,0,0,0.0293810361154907,0,0.0593333912006737,-0.00700431110295328,0,0,0,0.0246472269662449,0,0,0,0.107541600932104,0,0,0,0,0.0899577020506145,0,0,0,0,0,0,0,-0.0984561270498155,0,0,0,0,0,0,0,0.0609098529811251,-0.0107398820097093,0,0,0.0722742600697863,-0.0268883205395827,0,0,0,0.29847265895346,0,0,0.0971214754347986,0,-0.0304611498717486,0.00561592607737708,0,0.0815681471061384,-0.037308752657128,0,0,0,0,0,0,0,-0.109701835070505,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995368548925592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930129138156097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046296641290428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.156793963293008,0,0.157881138558474,0,0,0,0,0,0,0,0,0,0,0.0237513760077667,0,0,0,0,0,0,0,0.368296452671709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250923543365894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182771699185008,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.043099420132529,0.0154119439468583,-0.00910194904657505,0,-0.0332021216532854,0,0,0,0,0,0,0.00908299594998904,0,0,0.0521426854237336,0,0.035108638961161,0.0200751963668669,0,0,0,0,0,0.400492307837392,0,0,0,0,0,-0.126775044911533,0,0.0121257343812895,0,0.24750731367619,0.00317877240090747,0,0,0,0,0,0,0.0187697753916234,0,0,0,-0.0553756706870549,0,0,0,0.00337112068987552,0,0.0643642925857017,0,0,0,0,0.0110680449971501,0,0,0,0,0.0194429236040539,0,0,0,0,0.0455588570726033,-0.0298551815605819,0,0,0,0,0,0,0.019256527467557,0,0.00422965665372521,0,0,0.210691875761376,0,0,0.0156922561007099,0,0,-0.00414509345899597,0.024179046389987,0,-0.0146704407227974,0,0.0532255059678192,-0.212352743583636,0,0,0,0,0,0.00351434972674599,0,0,0,0,0.018631944333495,0.0390329655297168,0.0366179256978294,0,0,0,-0.0563281368805284,0.0192241026897959,0,0,0,0,0,0.0589885622260773,0,0
25,0.0172331130883165,0.0735956885866578,-0.0207764096829981,0.0331797468070236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03203093224905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00351213400603082,0,0,0.106274579005526,-0.00171501847492537,0,0,0.0805643924981835,0,0,0,0,0,0,0,0,0,0,0,0.0155270767680414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137471806598758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0500379151270579,0.0643022342732386,-0.0375486622716362,0.0388113892627416,-0.0199709781723502,0.0178656790195772,0,0,0,0,0,0.00159499345883153,0,0,0.0151589180517704,0,0.0476414899682059,0.0114788471550542,0,0,0,0,0,0,0,0.620066072849868,0,0,0,-0.0148613460781662,0,0,0,0,0.0226949640145397,0,0.0245491288540315,0,0,0,0,0.00122142362175637,0,0,0,-0.00868647975386208,0,0.00920103874216363,0,0,0,0,0,0.0332277922713757,0,0,0,0.0861070637708285,0,0,0.00260755830608945,0.00192931629007787,0,0,0,0.0251598295989255,0.0764332535816824,-0.00962955647036241,0,0,0.0450758517832129,0,0,0,0,0,0.013643752289034,0,0,0,0,0,0.0434637531475485,0,0,0.0140509656606284,0.0266602511540769,0.018605576153545,0,0,0.0114695623002657,0,0,0.00688714650659801,0,0,0.0150702725628934,0,0,-0.0414994701150821,0,0,0.0035765895757987,0.025213723924324,0.133018677242541,0,0,0,0,0,0,0,0.00781098940465587,0,0,0,0,0
27,0,0.0177852673656647,0,0.00754920052856569,0,0,0,0,0,0,0,0,0,0,0.0150010380429561,0,0.0253629667047131,0,0,0,0,0,0,-0.0143841117009961,0,0,0.986081851691278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00903866230959217,0,0,0,0,0,0,0,0,0,0,0,0.00889227661290794,0,0,0,0,0,0,0,0,0.0161589926678215,-0.0156135100715583,0,0,0,0,0,0,0,0,0,0,0,-0.00674132742293056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425901643322108,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,-0.0452166337506823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00489905592356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011102830711857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.0172425379136734,0.109434221613126,-0.0842965879603766,0.123699962830392,-0.0219039592186049,0.110463599658639,0,0,0,0,0.0107983452906651,0,0,0,0.0584356234904683,0,0.0397580315539843,0.00235568908454209,0.0613261537540304,0,0,0,-0.0325606934061915,-0.171650458917716,0,0,0,0,0.693578518889897,-0.135019378621398,-0.0190457793925871,0,0,-0.0426865283025669,0.0266051112058561,-0.0301072514943786,0.00892671915418092,0,0,0,0,0,-0.0871322420882863,-0.0140237876275081,0,-0.101679462669477,0,0,-0.0356015748049398,0.0382816389778501,0,-0.109044819096993,0,0.0946702894156819,0,0.0171590987993999,0,0.111297907899776,0,0,0.0266514995686033,0,5.13477324248597e-4,-0.00495406942536779,-0.068443121958766,0,0.25794350600734,0,0,0,0.157710740164788,0.0121349612482557,0.0892221041368305,0.00107623995593766,0,-3.19904301608147e-4,0.0717844825889013,-0.0217836697987296,0,0,0.0295187825456339,0,0.0244298233216094,0.00997181747013903,0,0.122222114762106,0.025924415360229,0.0634841808079274,-0.0659194118225188,0,0,0,0,0.00878213721270358,0,0,0.0273452617838036,0,0.00364119845329394,0.0271731760185441,0,-0.0703358395806144,0.047571330039223,0,0.0431322522521636,0.0287217416606547,0.0367452398418614,0,0,0,0,0,0,0,0,-0.0694295844006908,0,0.0148576801957649
30,0.0655444787405101,0.0539828630354149,0,0.110090065692358,0,0,0,0,0,0,0,0,0,0,0,0,0.0400612886140352,0,-0.0131033351440655,0,0,0,0,-0.15252611507900601,0,0,0,0,0,0.855308786185929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615773650412316,0,0,0,0,0,0,0,0,0,0,0,0.0843638826117792,0,0,0,0,0,-0.0886869203103162,0,0,0.00325662852841424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241727422437605,0,0,0,0,0.0194506070876759,-0.0129382698725434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581819357214791,0.00116188644229563,0,0.0333548186363284,0,0,0,0,0,0,0,0.138059624242999,0,0
