,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium,0,0.026613007,0.088590611,0.231147999,0.316696226,0.567315306,0.922288012,1.139920818,1.2558211,1.062121545,0.754694822,0.563763604,0.362062933,0.246746706,0.17760941,0.14940088,0.080290101,0.113332575,0.090629593,0.042376482,0.066616507,0.092681792,0.117842645,0.11438658,0.025868997,0.129313132,0.132455687,0.118237272,0.204519728,0.166085356,0.14849295,0.123777014,0.127307439,0.121664555,0.129526128,0.122232144,0.087449379,0.081332694,0.0972132,0.079815315,0.043533806,0.042075295,0.046729006,0.078308484,0.05186899,0.034037702,0.048463008,0.046481389,0.024402101,0.034797698,0.044434607,0.0359712,0.037997503,0.013474799,0,0.013550098,0,0.021497696,0.016862307,0.041380196,0.011703405,0.019057503,0.024530402,0.0286205,0.024330005,0.00605,0.0285027,0.00636,0.027490502,0.032316418,0.020618601,0.018775797,0,0.00318,0.057834986,0.015747997,0.012568904,0.011617102,0.003070001,0.021803096,0.020503197,0.0079,0.010265902,0.016803001,0.003169999,0.0293762,0.006300001,0.027300801,0,0.018522502,0,0.027361105,0.0136649,0.013822807,0,0,0,0.024999204,0.00336,0,0,0,0,0.014414597,0,0,0.003669999,0.010495698
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobiaceae,0.030216995,0.029570108,0,0,0.012667801,0,0,0.006809998,0.003,0.018525396,0.014740102,0.0259202,0.011774401,0,0.032561702,0.029880196,0.03108,0.037777492,0.045314796,0.039551383,0.023170902,0.014538299,0.012086405,0.013072698,0,0.009460002,0.006109999,0.006389999,0.002520002,0,0.010033297,0,0,0.002769999,0.017662604,0,0,0.024098598,0.00249,0,0,0.016182798,0,0.021083096,0.006919999,0,0.024231504,0.006199998,0.024402101,0.020298699,0.019043403,0.0269784,0.031664602,0.030318299,0.034111102,0.033875294,0.022479804,0.019706196,0.026979612,0.019098498,0.025357411,0.021780004,0,0.0286205,0.039302308,0.036317401,0.0380035,0.0317995,0.054980903,0.080791144,0.058419203,0.040680893,0.040357608,0.050871192,0.064261184,0.066141689,0.052370318,0.052277011,0.061489327,0.062683987,0.046864492,0.052652397,0.054751412,0.053209404,0.050766288,0.045696399,0.050439806,0.090092502,0.067358599,0.067915908,0.092815999,0.057209711,0.109319497,0.063585131,0.076732594,0.058179909,0.060609439,0.046873507,0.040273901,0.06463957,0.061485507,0.037329708,0.044503807,0.049009689,0.057421813,0.058405026,0.058687587,0.062974488
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__IheB3-7,0.682903094,0.588444162,0.488590659,0.368496898,0.323030127,0.305008203,0.346274167,0.377705107,0.321466151,0.314931424,0.256478341,0.304561902,0.306134528,0.422511411,0.512107028,0.498998932,0.670810708,0.563756673,0.640880349,0.443540207,0.40838794,0.408890165,0.214533983,0.241845858,0.297493871,0.19870065,0.191551381,0.373885413,0.28784258,0.352100907,0.489625435,0.359542642,0.26067728,0.447946735,0.359140479,0.305580511,0.310931124,0.43678647,0.321551399,0.296456856,0.348270352,0.262161372,0.291157436,0.358412029,0.428783713,0.351723222,0.460398876,0.415233398,0.505124527,0.521966075,0.587171189,0.4826139,0.357810124,0.481724782,0.501432725,0.474254621,0.494556798,0.539233095,0.397949675,0.404252556,0.356954952,0.42198697,0.522147547,0.410227105,0.389279876,0.405544507,0.357866699,0.368874597,0.391739122,0.475051957,0.508591129,0.441231623,0.496709402,0.473737726,0.536580566,0.500787318,0.460858655,0.508248202,0.445797396,0.419709915,0.480360821,0.35803608,0.499606609,0.49008634,0.475933487,0.479811993,0.545380068,0.414971708,0.407213493,0.416756747,0.405296698,0.430316181,0.423612987,0.387039891,0.439468464,0.369723957,0.322332006,0.312490248,0.281917004,0.361981432,0.365838743,0.451067092,0.347129552,0.461267795,0.353143881,0.342465955,0.267762142,0.388342623
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__ADurb.Bin180;f__ADurb.Bin180;g__ADurb.Bin180,0.199431869,0.212904459,0.158389319,0.177548499,0.167849014,0.112853001,0.156489285,0.153123662,0.117169919,0.129677669,0.114973019,0.100440601,0.094195209,0.141963804,0.17760941,0.140436781,0.129500102,0.22085315,0.25570478,0.152555234,0.110062011,0.139931288,0.069496927,0.094777384,0.064672594,0.069387517,0.065208993,0.105454875,0.111097169,0.11293807,0.132439655,0.094306311,0.06668492,0.124429654,0.153076234,0.091674133,0.048582988,0.126517491,0.0922279,0.076964714,0.127699119,0.077677392,0.097052512,0.066261087,0.110653878,0.082257805,0.12115762,0.12395027,0.148853108,0.110192795,0.101564715,0.1019185,0.069662105,0.128010795,0.098922105,0.115176181,0.128456326,0.109279779,0.080938936,0.098675789,0.079973534,0.065339911,0.070086906,0.057241001,0.059889212,0.048423201,0.0601723,0.066779,0.044672002,0.096949353,0.106529206,0.071973987,0.080715317,0.076306788,0.099604775,0.097637784,0.075413225,0.092936819,0.104531846,0.073585485,0.067367689,0.071080696,0.068439215,0.081214307,0.050766288,0.065280499,0.08196461,0.065521901,0.055111599,0.061741707,0.071159,0.072133914,0.087455597,0.08017254,0.059293395,0.039412206,0.052344533,0.059373109,0.0369177,0.051711676,0.046114105,0.04666211,0.06823911,0.072073084,0.063163915,0.047785922,0.029343794,0.041982992
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured;g__uncultured,2.26022805,2.084689175,1.557047188,1.339988593,1.117937793,1.058378611,1.025504303,0.986797056,0.751089219,0.883042888,0.654461905,0.557283604,0.841869877,0.956565824,1.308389172,1.225087232,1.582491619,1.711611815,2.048875036,1.079187031,1.019521601,0.921365821,0.552953813,0.565396302,0.527081548,0.555100139,0.338271566,1.105678342,0.835753622,0.843713478,1.157843609,0.972533414,0.624412892,1.117101788,0.921401403,0.648770836,0.647773141,1.075398327,0.820080797,0.704084932,0.896796034,0.74440872,0.654205682,0.671646167,0.733081952,0.711955844,0.96926076,0.839763093,0.990727253,0.910540756,1.12038607,1.0371703,0.680789146,1.098197658,0.81866564,0.975609637,1.001959199,0.865281132,0.832996466,0.700280024,0.600776557,0.827638937,0.753434368,0.636010908,0.643809125,0.620422511,0.706232598,0.664610295,0.676952737,1.059979875,1.264604872,1.176617594,1.204520347,1.017423241,1.301288075,1.143306914,1.202422004,1.289498359,1.023796749,1.062901785,1.241908395,0.992496945,1.139513648,1.016578982,0.999460363,0.946567887,1.109675139,1.02104892,1.166528879,0.984780811,0.918878794,0.940228477,0.956545471,0.793431791,0.85452193,0.895220037,0.757617983,0.862473132,0.701436409,0.659323294,0.805459995,0.715485747,0.697226004,0.619828659,0.645994949,0.692896113,0.711586947,0.696217862
d__Bacteria;p__Bacteroidota;c__SJA-28;o__SJA-28;f__SJA-28;g__SJA-28,0.371668542,0.322313689,0.24697993,0.211048199,0.177349915,0.176904802,0.119864189,0.139512666,0.153222224,0.095714477,0.097284916,0.0615604,0.067702806,0.145343904,0.17760941,0.170316977,0.194250202,0.197605456,0.258941579,0.180806221,0.118751112,0.130844889,0.066475326,0.084972885,0.087307991,0.037847709,0.077435692,0.140606467,0.138871487,0.139511663,0.164546244,0.123777014,0.087902827,0.16314114,0.132469829,0.11047914,0.077732781,0.14157909,0.167007299,0.091217517,0.20315773,0.135935485,0.125808816,0.15059327,0.152149069,0.133314408,0.18000553,0.210715448,0.229380212,0.266782687,0.336433251,0.2697842,0.170988912,0.303183388,0.272888513,0.29810295,0.327563565,0.295592943,0.290031127,0.245097974,0.269179115,0.283139647,0.266330224,0.174903002,0.192768437,0.142243202,0.224854299,0.181257399,0.233668913,0.242373431,0.226804113,0.253473456,0.167639434,0.197125769,0.224914044,0.223621964,0.261851488,0.229437746,0.187542382,0.166248766,0.251896458,0.218507288,0.188207941,0.201635516,0.187200556,0.120768998,0.201759125,0.215676104,0.186767097,0.135831815,0.176350499,0.208939639,0.122984396,0.146522272,0.177880085,0.174539727,0.192848223,0.162494925,0.140958502,0.14996373,0.156788019,0.155540332,0.139445221,0.239282646,0.13207013,0.138048262,0.165058865,0.146940471
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;__;__,0,0,0,0,0,0,0,0,0,0.012350297,0,0,0.008830001,0.0169005,0,0,0.04144,0.04358939,0.074445694,0.036726284,0.034756403,0.047249496,0.024172809,0.019609097,0,0.031539808,0.018339998,0.060716486,0.027774317,0.053147286,0.050166583,0.064835608,0.042435813,0.041476585,0.017662604,0.018804907,0.025910894,0.030123198,0.0199412,0.019953804,0,0.032365597,0,0.042166092,0.044953091,0.036874202,0.048463008,0.046481389,0.065885804,0.063795897,0.13012982,0.0839329,0.088660906,0.040424498,0.146677607,0.138888877,0.166993233,0.150483671,0.168622774,0.133689786,0.216513592,0.228689738,0.192739017,0.330725704,0.327519164,0.311724505,0.338864999,0.289375798,0.36424872,0.329627879,0.364261221,0.337964641,0.4873961,0.397430938,0.372714607,0.440944828,0.437815647,0.354321671,0.362786859,0.362476727,0.412993132,0.413320977,0.396947687,0.574101047,0.50766238,0.525508393,0.457110457,0.51598461,0.53274549,0.654462474,0.597116496,0.654180123,0.642251981,0.693907242,0.634787748,0.668130602,0.617114294,0.618730795,0.654450309,0.60244052,0.587186469,0.53505891,0.528111679,0.510277484,0.52253812,0.451311704,0.480504597,0.496798702
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-01,0.148063077,0.136022238,0.118120814,0.127298899,0.107676709,0.137253701,0.129852788,0.193956652,0.180261429,0.160553261,0.12676512,0.123120801,0.120687611,0.118303203,0.156888309,0.158364978,0.124320101,0.154015965,0.216863583,0.113003851,0.095580109,0.127210289,0.069496927,0.088241085,0.071139893,0.047309712,0.063171194,0.092672478,0.090897657,0.049825587,0.104346365,0.08841211,0.06365372,0.171436437,0.147188732,0.122232144,0.100404875,0.138566691,0.1046912,0.074114214,0.13350362,0.080913991,0.071890709,0.087344083,0.079532484,0.107786107,0.152312425,0.086765179,0.156173708,0.144990593,0.215825133,0.2098321,0.132991409,0.181910093,0.153499808,0.196476967,0.263335452,0.180938665,0.212464693,0.222816376,0.216513592,0.209632235,0.164704215,0.203523503,0.129136125,0.154349003,0.180516799,0.190797199,0.202742211,0.1842038,0.189003411,0.259732055,0.173848336,0.171690173,0.189570353,0.18582677,0.161300554,0.159735132,0.190616784,0.177150264,0.187457869,0.213242088,0.188207941,0.165229113,0.206237851,0.176257498,0.208064126,0.210215904,0.211261096,0.169789819,0.160881099,0.169141632,0.213172994,0.138228568,0.184855785,0.144511422,0.165298505,0.190619029,0.174520102,0.152549329,0.122971015,0.143097129,0.151312923,0.129731571,0.17226534,0.130083959,0.154054867,0.108456079
d__Bacteria;p__Firmicutes;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__Syntrophomonadaceae,0.138997978,0.138979238,0.187919523,0.170848499,0.142513312,0.176904802,0.153159785,0.210970448,0.228331136,0.234654744,0.191621731,0.171721101,0.097138809,0.138583703,0.162808609,0.259957564,0.170940202,0.328373726,0.482278661,0.262733986,0.240398524,0.22716118,0.114821044,0.081704686,0.032336297,0.091465323,0.083548992,0.17256256,0.156545998,0.149476761,0.192639535,0.17093012,0.148525446,0.21567802,0.223726849,0.119881544,0.116599171,0.228936284,0.139588199,0.091217517,0.150917122,0.116516188,0.093457912,0.087344083,0.107195978,0.107786107,0.083079514,0.052678887,0.112249906,0.101493395,0.136477621,0.1019185,0.053829804,0.090954997,0.040933302,0.077913287,0.089919418,0.080616284,0.057331725,0.063661793,0.050714922,0.057172409,0,0,0.041173808,0.030264501,0.0348366,0.0413394,0,0.051706328,0.048110003,0.05945679,0.003100001,0.054050592,0.054621986,0.06299209,0.052370318,0.066798313,0.043042519,0.05178239,0.029290295,0.047387097,0.030797707,0.036406403,0,0,0.047287306,0.027300801,0,0.033958004,0,0.022386404,0,0.04146852,0.041854097,0.013137402,0.002750002,0,0.0268492,0.015513493,0.030742704,0,0.023735404,0,0,0,0,0.024490095
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Ornatilinea,3.426602469,2.930392909,2.673825824,2.187531389,2.220040684,2.171658622,2.1042816,1.789845758,1.303890807,1.114610032,0.893252144,0.648004105,0.994937092,1.088389427,1.45639698,1.419308406,1.820771822,1.792978797,2.197766424,1.19501598,1.41632404,1.252112492,0.846049626,0.902019544,0.533548847,0.671797268,0.582805142,1.255871607,1.045323253,1.043015826,1.292289963,1.090416228,0.74868923,1.542927631,1.554312942,1.0977391,1.075303337,1.662800787,1.251308595,0.920726473,1.358254202,1.000096993,0.812365302,1.027046397,1.199902958,0.930364558,1.401966431,1.413033052,1.634943988,1.510801727,1.552036336,1.6936451,1.17475708,1.623715638,1.487242573,1.55826534,1.775908353,1.675026575,1.440038432,1.511968237,1.433671412,1.423865636,1.412251327,1.50416592,1.446698881,1.446643725,1.342791996,1.539097489,1.474176181,1.780636965,1.7457046,1.589685522,1.701229749,1.774131723,1.365549259,1.445669064,1.686323567,1.582830218,1.546455779,1.507140196,1.487946754,1.376859224,1.51250763,1.520667723,1.408763166,1.39700358,1.484820986,1.430560529,1.500260173,1.438582563,1.280861292,1.484964079,1.500409855,1.437576709,1.349795889,1.452621122,1.42707681,1.253085992,1.278695117,1.416898743,1.650885595,1.508741709,1.60807024,1.770115198,1.745622001,1.590209919,1.569892962,1.560367791
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,0.117846082,0.062097117,0.045637606,0.0368497,0.041170503,0.073202001,0.033295597,0,0.039056606,0.04322589,0.032428305,0.0648004,0.041210404,0.084502302,0.148007808,0.098604586,0.108780101,0.069743084,0.071208894,0.079102666,0.069512807,0.090864492,0.07856173,0.107850181,0.045270796,0.123005131,0.067246793,0.073498883,0.050498732,0.059790684,0.020066593,0.061888507,0.051529216,0.082953069,0.100088322,0.159842058,0.110121473,0.066270995,0.176977899,0.099769119,0.307638746,0.113279588,0.111430614,0.063249187,0.076074585,0.093603706,0.055386309,0.111555273,0.082967304,0.139190993,0.19995563,0.1139089,0.044330503,0.026949599,0,0,0,0.048369791,0.09105634,0.050929494,0.042912618,0.098009916,0.059573905,0.155822702,0.140365327,0.205798703,0.1298455,0.308455498,0.171815409,0.132497472,0.147766308,0.106396281,0.136595128,0.155792976,0.093178677,0.132283478,0.031422211,0.15102233,0.110680749,0.174424865,0.161096573,0.252731286,0.164254236,0.151226612,0.149125865,0.153409298,0.116642015,0.139233903,0.168396597,0.058654607,0.160881099,0.114419322,0.199508094,0.110582855,0.139513789,0.163279125,0.123973879,0.112496517,0.110753101,0.121522344,0.129119515,0.09954582,0.13351132,0.103785276,0.080390518,0.106190948,0.095367279,0.111954678
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured;g__uncultured,0.939747254,0.742208505,0.676510182,0.566145197,0.665062155,0.622216806,0.546047748,0.721382722,0.591858294,0.580461761,0.392087563,0.327242102,0.303190928,0.310968408,0.432182824,0.358562151,0.424760405,0.525979182,0.75093054,0.333361455,0.373631537,0.288949075,0.166188264,0.176482069,0.139046086,0.094619324,0.09781349,0.217300949,0.219669337,0.22919774,0.180599539,0.191559622,0.184898957,0.409235249,0.241389553,0.242113788,0.20404855,0.283158081,0.204396999,0.176733833,0.206059931,0.142408585,0.165348721,0.135533973,0.221307755,0.232591114,0.283854947,0.316073222,0.405075622,0.41177318,0.583997289,0.6834532,0.481302033,0.825332669,0.518488225,0.670731588,0.700086839,0.714797461,0.839741369,0.818054412,0.871906272,0.830361438,0.946173385,0.76003311,0.709312938,0.626475411,0.706232598,0.737749195,0.666643837,0.64632925,0.69759454,0.757291167,0.599155723,0.70583739,0.748642313,0.718110083,0.754132253,0.772537355,0.716350314,0.618663375,0.629741296,0.581808568,0.602265431,0.546096144,0.536218373,0.424323494,0.457110457,0.52417481,0.370472393,0.435279249,0.321762298,0.32087166,0.32522549,0.246046821,0.296466776,0.313420848,0.289272285,0.228117935,0.258423903,0.299927461,0.310501737,0.286194259,0.204717431,0.247931444,0.206718348,0.188488985,0.216410453,0.178427665
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Tolumonas,1.341632692,1.020167082,0.786577295,0.777193396,0.715733559,0.555115006,0.546047748,0.476384782,0.369535859,0.45695929,0.445152072,0.537843404,0.470976143,0.986986625,0.926528951,0.935249472,0.85729091,0.746832332,0.576144954,0.635646823,0.567688156,0.745088736,0.815833514,0.859533151,0.543249746,0.76010869,0.621522938,0.469753491,0.441863676,0.15279846,0.343139084,0.412589948,0.375860215,0.317986883,0.320871471,0.319684216,0.314169923,0.340392177,0.368911699,0.299307356,0.26990944,0.245978574,0.312724739,0.262032348,0.224765655,0.212735813,0.18346723,0.12085147,0.165934609,0.098593595,0.171390526,0.1618705,0.098160307,0.040424498,0.071633204,0.271002655,0.134879127,0.408455721,0.36422516,0.337407664,0.275030817,0.264082144,0.203252018,0.286204904,0.299446058,0.375279906,0.323030099,0.346614898,0.37112132,0.281153252,0.316151218,0.234697659,0.251459152,0.244817462,0.224914044,0.299212551,0.295368499,0.307853262,0.27362742,0.357026028,0.339767344,0.344872981,0.307976667,0.36686463,0.349017917,0.345986895,0.245893931,0.281198006,0.220446396,0.216096124,0.247509399,0.256199848,0.360754289,0.309631953,0.359247971,0.300283446,0.380186443,0.374988357,0.513491707,0.361981432,0.33509594,0.382629378,0.326361149,0.279643637,0.275624563,0.517681034,0.403477113,0.671727867
d__Bacteria;p__TA06;c__TA06;o__TA06;f__TA06;g__TA06,0.114824382,0.079839122,0.064429508,0.0636495,0.044337504,0.057951601,0.039954696,0.054443987,0.06008711,0.080276581,0.032428305,0.0518403,0.047097604,0.077742102,0.065123404,0.065736391,0.090650101,0.081366982,0.055025096,0.070627469,0.060823706,0.019990198,0.036259314,0.019609097,0.019401798,0.012615903,0.020377798,0.051129588,0.053023633,0.033217091,0.032106589,0.044206105,0.015155605,0.058067179,0.038269108,0.042311115,0.006479998,0.060246396,0.0673015,0.045608709,0.034827005,0.025892497,0.035945404,0.030118694,0.072616585,0.017018901,0.048463008,0.046481389,0.046364103,0.014499099,0.031739005,0.0179856,0.022165202,0.023580899,0.027288901,0.040650393,0.019268404,0.007169999,0.010117404,0.012732399,0,0,0,0.00636,0.009360002,0.0121058,0.0095,0.0158998,0.017181501,0.025853214,0.044673503,0.009389998,0.021731004,0.019076697,0.03855669,0.009449998,0,0,0.015372307,0.010901598,0,0,0,0.030805402,0,0,0.009460001,0.0136504,0,0.012348301,0.0123755,0.024873805,0.0109319,0.016587408,0,0.007510001,0.035814623,0,0.0134246,0.012927894,0,0.012443203,0.044503807,0.005769999,0,0.018583408,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Beutenbergiaceae;g__Beutenbergia,0.175258373,0.085753124,0.131543616,0.157448699,0.129845511,0.073202001,0.083238992,0.091874177,0.072104611,0.080276581,0.094336815,0.0648004,0.067702806,0.091262502,0.091764805,0.092628587,0.126910102,0.124956372,0.142417889,0.084752863,0.078201908,0.081777993,0.042302516,0.052290991,0,0.063079516,0.032604497,0.04473839,0.050498732,0.069755882,0.074246475,0.055994307,0.057591518,0.138255149,0.105975923,0.075219827,0.051821887,0.114468192,0.0897353,0.082665816,0.092872114,0.074440892,0.035945404,0.033130493,0.04841109,0.053893103,0.06230961,0.052678887,0.058565203,0.052196597,0.034912905,0.0569544,0.037997503,0.033686999,0.040933302,0.047425492,0.041748308,0.059118589,0.040469418,0.025464697,0.017555207,0.040837407,0.056069505,0.0254404,0.028073105,0.036317401,0,0,0.034363102,0.042011423,0,0.043810192,0.052775411,0.031794495,0.032130592,0.028346495,0,0.069702614,0.024595711,0.027253894,0.023432196,0.039489298,0.030797707,0.033605903,0,0.045696399,0,0.027300801,0,0,0,0,0.0163979,0.024881112,0,0.016890903,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,0.290082755,0.189248352,0.110067113,0.0468996,0.041170503,0.082352201,0.053272995,0,0.054078409,0.142027866,0.094336815,0.074520501,0.141292813,0.236606406,0.281214815,0.319717856,0.339290304,0.261536641,0.110050191,0.155380332,0.107165611,0.327112072,0.2598581,0.333355042,0.258690374,0.205008551,0.360687064,0.105454875,0.179270412,0.079720979,0.341132485,0.159141819,0.19702346,0.154845743,0.100088322,0.075219827,0.064777284,0.14760369,0.0548382,0.088366917,0.06675181,0.064731193,0.071890709,0.063249187,0.055326889,0.051056603,0,0,0.053684703,0,0.044434607,0.0479616,0,0,0,0,0.041748308,0.159441069,0.252934111,0.283295069,0.28088252,0.332144555,0.290860726,0.575589907,0.615736019,0.417650307,0.376868499,0.343434998,0.443283724,0.323164575,0.237113414,0.156465073,0.285607859,0.286150255,0.27953593,0.396850335,0.150826451,0.15102233,0.218286996,0.335222832,0.319264147,0.392260078,0.342196275,0.526492743,0.621886453,0.525508393,0.267961333,0.294848306,0.131655498,0.108048012,0.201101399,0.171629032,0.32522549,0.389804492,0.317393874,0.275885442,0.228662846,0.321864949,0.302054004,0.36715263,0.307427436,0.475953598,0.448004767,0.392077611,0.327304075,0.379632772,0.660235358,0.776685246
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum,0.036260294,0.065054118,0.037583905,0.0167499,0.015834801,0,0,0,0,0,0,0.0259202,0,0,0.038482002,0.050796293,0.0259,0.052307288,0.035604497,0.019775691,0,0.039980397,0.07856173,0.156872973,0.135812387,0.16085284,0.191551381,0.12782407,0.08079795,0.18933725,0.072239776,0.050100206,0.087902827,0.038711486,0.032381507,0.051713619,0.029149793,0.036147798,0.0373897,0.031356006,0.043533806,0.051784994,0.035945404,0.036142393,0.04841109,0.014182401,0,0.012394997,0,0.020298699,0.012695602,0.0239808,0,0,0,0.016937697,0,0.016123297,0,0.066844893,0.039011417,0.029947505,0.021026102,0.063601101,0.037430807,0.066581901,0.0570053,0.092218699,0.123707107,0.061401233,0.058419203,0.053198091,0.09623742,0.06676839,0.096391676,0.075590588,0.11940424,0.09874542,0.119904153,0.065409387,0.06150959,0.068448096,0.075283216,0.084014807,0.142780066,0.101184799,0.047287306,0.049141401,0.042864599,0.033958004,0.0587835,0.059697011,0.046460799,0.055291427,0.055805495,0.069440511,0.068874344,0.056248209,0.070479301,0.067225169,0.070708308,0.080881017,0.056371508,0.080721882,0.103359224,0.092917142,0.146718968,0.125948975
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_3,0.048347093,0.050269114,0.032214804,0.0502496,0.069673206,0.122003301,0.143171086,0.15992916,0.159230925,0.142027866,0.120869119,0.152281001,0.167785215,0.280547607,0.343378119,0.552783224,1.206941214,1.848192084,1.741381961,1.873039285,2.395296537,3.216602523,3.997584239,4.712725485,8.087307199,7.686244322,9.832289717,7.007955467,7.440984351,6.264738452,4.944413829,4.426500618,4.261769708,5.9615628,5.949368409,5.615628944,5.538460143,9.015874287,7.929109068,6.923977202,8.877990623,7.521765095,6.455788007,6.080957796,6.355681816,5.301376029,6.476738769,4.437419508,5.175695779,4.555603681,5.179802087,4.6552758,3.53060404,3.274380876,3.510028872,4.332655076,4.21978954,4.304907765,3.939027729,4.147567652,4.277607327,3.947619855,4.33837999,3.892386951,3.836652944,3.831487265,4.430580187,5.176964364,4.937974872,4.311015737,4.659794066,4.875452847,5.147151155,5.398701958,5.658193485,5.697636871,6.447830866,5.764987259,4.780792899,4.774881835,4.613220839,4.633407645,5.416967281,4.833651092,5.038549406,4.99069743,4.530122566,4.561959191,4.546707018,4.374402394,4.476826873,4.651395074,4.67067486,4.544954141,3.972654974,4.44607168,4.168276359,4.240493149,4.383138757,4.509254308,5.475283446,4.983513722,4.782673913,4.58096586,4.846397915,4.568866865,5.091148105,4.548157099
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum,0.00302,0,0,0,0,0,0.006659999,0,0,0,0,0,0,0.00676,0,0,0,0,0,0.005649998,0,0,0.012086405,0.016340897,0,0.022077806,0.008149999,0.022369195,0.030299219,0.013286797,0.014046595,0.023576603,0.015155605,0.038711486,0.064763014,0.063466723,0.08097168,0.075307995,0.0822573,0.05130981,0.046436007,0.042075295,0.050323506,0.04818989,0,0.059566004,0.048463008,0.024790094,0.053684703,0.031897898,0.034912905,0.0269784,0.031664602,0.080848897,0.037522202,0.033875294,0.05138251,0.082407684,0.060704227,0.073211092,0.050714922,0.070784912,0.094617309,0.127202202,0.087962317,0.081714201,0.1140106,0.136737999,0.116834506,0.090486049,0.103092806,0.128301378,0.130386227,0.073127289,0.125309269,0.12283458,0.085887329,0.110362522,0.104531846,0.122642475,0.108374082,0.118467793,0.09239302,0.081214307,0.088840879,0.084864699,0.097727112,0.106473002,0.113284998,0.080264309,0.114473099,0.126856224,0.114785497,0.088466244,0.104635291,0.110729517,0.096424062,0.071872811,0.114109301,0.08532416,0.110673913,0.093324219,0.115709817,0.080721882,0.094745922,0.08760754,0.106371277,0.122450376
