Sample,Period,Clostridium_sensu_stricto_6,Propioniciclava,Streptococcus,Anaerolineae_SJA_15,Clostridium_sensu_stricto_12,Clostridium_sensu_stricto_3,Ornatilinea,Anaerolineae_SBR1031,uncultured_Ardenticatenales,Bacteroidetes_vadinHA17,Syntrophobacter,Smithella,Syntrophorhabdus,Syntrophomonadaceae,Syntrophomonas,Syntrophus,Methanosaeta,Methanolinea,Methanobacterium,Micrarchaeales,Candidatus_Methanofastidiosum,Methanomethylovorans,Methanospirillum,Methanomassiliicoccus
80,Stage2,3.226650249,37.73234958,0.113266723,9.723514954,5.550070816,5.764987259,1.582830218,1.524744706,1.016496504,1.408573683,2.181111038,0.354321671,0.165543733,0.066798313,0.139405228,0,3.766845557,0.604089321,0.307853262,0.281714757,0.145213829,0.037755608,0.110362522,0.055181211
81,Stage3,3.142103079,39.8542879,0.095308442,9.982787382,5.653940882,4.780792899,1.546455779,1.524934569,0.894669293,1.361987898,1.973806467,0.375084665,0.178318978,0.043042519,0.083010536,0.049191422,3.71395353,0.574924952,0.338191148,0.258255013,0.172170076,0.039968018,0.104531846,0.070712731
82,Stage3,2.52643579,40.51836092,0.065409387,10.32922501,5.813255126,4.774881835,1.507140196,1.370870723,0.956611607,1.321813733,1.845088427,0.400632219,0.152621769,0.05178239,0.122642475,0.024528495,3.924560407,0.752207448,0.256186548,0.286165842,0.122642475,0.054507789,0.122642475,0.057233188
83,Stage3,2.4252361,40.18627967,0.046864492,10.35118899,5.910780825,4.613220839,1.487946754,1.508450051,0.978295739,1.320992182,1.745701312,0.412993132,0.178670771,0.029290295,0.111303082,0.008789999,4.17972461,0.711754083,0.292902952,0.289973852,0.149380475,0.055651591,0.108374082,0.05858059
84,Stage3,2.066605086,40.89772055,0.071080696,10.50151322,5.707515786,4.633407645,1.376859224,1.529551016,0.90298795,1.27945233,1.956035192,0.36066868,0.197446389,0.047387097,0.089508995,0.0079,3.914702985,0.710806861,0.294853184,0.334342482,0.131630893,0.028958798,0.118467793,0.028958798
85,Stage3,2.480923141,39.78031867,0.054751412,10.25220083,6.00896681,5.416967281,1.51250763,1.361941197,0.96499351,1.341409492,2.032645943,0.444855197,0.171098137,0.030797707,0.109502824,0,3.332991827,0.629641137,0.266913058,0.27375706,0.130034628,0,0.09239302,0.037641608
86,Stage3,2.128374772,39.34132729,0.039206903,10.28901173,5.091296512,4.833651092,1.520667723,1.529069224,0.924162775,1.305029806,1.783914144,0.565699646,0.159628113,0.036406403,0.095216808,0.036406403,4.231545143,0.795340064,0.271647822,0.302453224,0.151226612,0.030805402,0.081214307,0.044807904
87,Stage3,2.040168316,39.86101795,0.047593389,10.74657865,5.409777518,5.038549406,1.408763166,1.243772905,0.942348377,1.259637401,1.700669097,0.533045574,0.12691557,0,0.072976483,0.012691597,4.150140216,0.701208734,0.33632632,0.272868535,0.117396972,0.053939087,0.088840879,0.04124759
88,Stage3,1.929039973,39.93863574,0.039168299,10.59503205,5.206123227,4.99069743,1.39700358,1.331723081,0.953095887,1.315402882,1.609165377,0.509188193,0.097920799,0,0.137089098,0,3.773215347,0.574468792,0.326402695,0.231745897,0.140353198,0.045696399,0.084864699,0.048960399
89,Stage3,1.264146958,41.53715719,0.028372404,10.51984621,4.117146915,4.530122566,1.484820986,1.267299458,1.04347293,1.065540333,1.963998845,0.47602536,0.145014318,0.047287306,0.094574612,0,3.820813178,0.684089486,0.331011041,0.31840114,0.110337014,0.037829805,0.097727112,0.056744707
