,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Pla1_lineage,0.707076566,0.552971928,0.475167695,0.415394622,0.348365731,0.314153942,0.362921844,0.360649698,0.303429273,0.302581156,0.232894063,0.158761128,0.294360789,0.243357923,0.456039123,0.507964712,0.507630214,0.56085157,0.585857375,0.319236097,0.382320181,0.338025288,0.24777073,0.183019752,0.054971696,0.145083023,0.136581516,0.338734085,0.267643086,0.239061986,0.403346753,0.247553893,0.221273053,0.334577163,0.2943776,0.211555634,0.161951866,0.319307375,0.181882992,0.185284777,0.258233523,0.203905611,0.172537706,0.174687538,0.207476075,0.201392134,0.287317425,0.192211213,0.310014434,0.258084191,0.231694522,0.236810461,0.158317036,0.235809294,0.187628276,0.233738877,0.308295037,0.281259456,0.340626555,0.248281706,0.222365843,0.245021965,0.26282593,0.190803307,0.215227645,0.223957401,0.259691381,0.257576198,0.271468315,0.361945566,0.343627672,0.337964589,0.322805903,0.324268837,0.2795351,0.308660176,0.339359012,0.25848052,0.230584856,0.24800964,0.269470702,0.23693555,0.270334938,0.226839946,0.269696787,0.235012232,0.25219956,0.212946025,0.303114888,0.237707076,0.216571809,0.231326111,0.1995081,0.223930561,0.251124888,0.182054039,0.212133054,0.193743901,0.238286295,0.227531209,0.27053594,0.248864562,0.284824228,0.305591127,0.246913643,0.244239312,0.242086159,0.223909211
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15,2.230010762,1.753541924,1.688590225,1.480680707,1.292120344,1.180364775,1.431710084,1.503841311,1.463069775,1.732122747,1.559505655,1.393210027,1.477690956,1.591966238,2.09659535,2.157355845,2.172968169,2.423576094,2.693001936,2.234652682,2.218615468,1.831878879,1.504753718,1.300747498,0.68876305,0.9461939,0.835797292,1.514716627,1.484661475,1.155466448,1.539139002,1.290816861,1.212454931,1.90515441,1.937004519,1.30459331,1.172531619,1.909819326,1.365368288,1.066100041,1.302773809,0.880354379,1.056793736,1.057160591,1.165323658,1.2168622,1.789676259,1.550090098,2.131043944,1.893584173,2.424858228,2.562948093,2.371589855,3.597776614,3.762798962,4.088737262,4.768938332,5.198821257,5.197084881,5.818705309,6.481768216,6.596536861,6.626717862,6.922979349,7.190475923,7.59336603,8.063100833,7.743186854,8.150923056,7.930484922,8.401696905,7.698082383,8.352603969,8.386482336,8.521002079,8.485005757,9.137555747,9.723513758,9.982785426,10.32919127,10.35119079,10.50151158,10.25219625,10.28901299,10.74662452,10.59513282,10.51987241,10.80564705,10.44368588,11.05183438,11.03897231,10.77034567,11.5851325,11.44534035,11.76101702,11.74154748,12.08056419,12.09962194,12.54862717,12.2117026,12.3862399,12.78230374,13.34520232,13.65069756,13.05484008,13.20750859,13.03964322,13.16516289
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales,0.036260288,0.050270184,0,0.010049855,0.022168696,0.012200123,0.029965987,0.040828279,0.054076488,0.077189089,0.044220393,0.07452056,0.111857062,0.094596627,0.172066037,0.119521079,0.147627109,0.15111028,0.113287301,0.115828999,0.101372789,0.109003027,0.208489968,0.238579332,0.339531076,0.397401436,0.456630686,0.27482195,0.285317591,0.405077306,0.325006166,0.309442391,0.409001023,0.555999273,0.518104553,0.566000091,0.647807564,0.575355678,0.388681496,0.38197161,0.188597557,0.258927735,0.258806609,0.219865341,0.24551327,0.331871482,0.411937126,0.44332576,0.390569373,0.28128278,0.225346721,0.188848789,0.157994048,0.090954998,0.170571096,0.182926078,0.189472962,0.292008189,0.239450355,0.165521204,0.208711809,0.204185004,0.150686917,0.260764509,0.368694347,0.311724501,0.262858387,0.273475998,0.268032015,0.33932388,0.243975701,0.240956221,0.189338084,0.181209017,0.234552445,0.160629263,0.196911975,0.12488381,0.126053031,0.117191393,0.108374101,0.115835176,0.112924774,0.131623227,0.11422456,0.124034178,0.141862271,0.212946025,0.177582437,0.219184469,0.191820693,0.164166979,0.21044,0.163109936,0.195319368,0.17454664,0.101934074,0.1031218,0.040273781,0.142207043,0.119999885,0.087102587,0.083073708,0.095136851,0.120585721,0.119464904,0.077027455,0.07696877
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales,2.831327963,2.522379808,1.89261698,1.651528535,1.418798819,1.369467132,1.265232156,1.219858948,0.949343037,1.102259939,0.843135368,0.758165513,1.042037037,1.226929354,1.599098116,1.577678506,2.022751013,2.167850988,2.586188158,1.387123189,1.326535046,1.114029541,0.688923382,0.705933329,0.643492254,0.656027854,0.456630686,1.332567128,1.040273033,1.042576002,1.452850965,1.140516266,0.779002248,1.324483269,1.077422034,0.759249822,0.793564274,1.253130697,0.974195291,0.860861542,1.085161266,0.867407932,0.787203527,0.816212341,0.888688992,0.856625603,1.163116443,1.007558609,1.191236466,1.04393611,1.345732826,1.261989658,0.801084421,1.290213869,0.996135349,1.17546966,1.172163262,1.067711078,0.991526885,0.904000208,0.788001923,0.969198177,0.988225514,0.969916735,0.971003811,0.947279204,1.010262871,0.988965594,1.034328758,1.512415206,1.642540343,1.567780187,1.595406294,1.424239574,1.786454451,1.637788806,1.778492665,1.643819828,1.448072652,1.488057638,1.663688815,1.361063313,1.584368137,1.618685229,1.545204029,1.488410535,1.585704447,1.575254783,1.85849237,1.589858904,1.571692219,1.572022755,1.5987975,1.479047644,1.506749527,1.634732702,1.443606751,1.384331704,1.332389657,1.243664801,1.629363934,1.524295167,1.453790344,1.432818686,1.329314033,1.553043751,1.536880607,1.532378793
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales,0.09069997,0.070969631,0.075167783,0.097148761,0.031669594,0.036600469,0.026636489,0.006809213,0.015021269,0.027788096,0.047168393,0.230041686,0.247263078,0.314337292,0.148064626,0.05677248,0.044029108,0.037777545,0.055025295,0.084752899,0.075305517,0.045401261,0.123999565,0.026145679,0.00647,0.069387559,0.067271533,0.092672551,0.136346444,0.136132535,0.178596289,0.247553893,0.154587986,0.107838959,0.047100432,0.035259306,0.042107527,0.045184995,0.029898615,0.034206467,0.046423977,0.016182983,0.025161801,0,0,0,0,0.015500914,0.012205318,0.008700033,0,0.014987991,0,0,0,0,0,0.005369967,0.006740173,0.022300054,0,0,0,0.015900301,0.005610022,0.0151,0.03800357,0.0604191,0.027490502,0.067864756,0.041235309,0.03129299,0.058974134,0.111268737,0.041769666,0.03779985,0.04399095,0.020329902,0.024600006,0.035429977,0.0292903,0.031591393,0.020531795,0.030805406,0.031729028,0.071809282,0.034677391,0.076442209,0.039802943,0.123484215,0.086600403,0.099495148,0.0655917,0.10200021,0.111611039,0.095719106,0.104689076,0.0937471,0.097328212,0.07498187,0.098376705,0.118210682,0.127577513,0.147029642,0.175136431,0.191143866,0.190734589,0.223909211
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales,1.356740951,1.190025669,0.985234681,0.800639581,0.636559274,0.603907539,0.552706662,0.530767527,0.534756494,0.469309531,0.400931537,0.369362699,0.494526057,0.706413913,0.705270675,0.732066723,1.082599163,1.005464401,1.21702971,0.689323994,0.677749357,0.512489934,0.438131062,0.395453405,0.13581239,0.220778587,0.248700638,0.594382425,0.568110282,0.431639794,0.589969893,0.601202382,0.345549664,0.608322205,0.597586507,0.441916271,0.459943328,0.656688628,0.498309551,0.250847021,0.658640626,0.362498809,0.373831813,0.427683235,0.452989345,0.42547632,0.661176328,0.539431367,0.651762535,0.550966316,0.615736258,0.605515244,0.471784926,0.623210385,0.620878898,0.586041087,0.677606762,0.519523878,0.55984169,0.487014189,0.415472914,0.615277483,0.494112757,0.426127315,0.477243973,0.453967702,0.532050685,0.429293697,0.35737602,0.675416248,0.680382842,0.585179409,0.720105592,0.693045188,0.671526939,0.623619527,0.517417808,0.679600453,0.694828969,0.65136584,0.673676806,0.629195567,0.530403979,0.431275988,0.475935518,0.538569615,0.643108782,0.51871476,0.535809123,0.552591699,0.621870396,0.554685266,0.4755398,0.497623524,0.397614439,0.435428214,0.542729995,0.490609701,0.449723469,0.480918207,0.448843669,0.311080652,0.326361132,0.441089027,0.347401761,0.353085107,0.289769832,0.237903506
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,3.251343624,2.658404942,2.716777897,2.2344209,2.378388129,2.150276904,2.646998962,2.609607051,2.637731546,2.445349743,2.113734568,1.675092055,1.727897642,1.548026605,1.682014339,1.583654625,1.678287693,1.839476796,2.204248005,1.29954519,1.410529654,1.18672316,0.833959873,0.758224687,0.426839069,0.570870382,0.527979218,0.706228586,0.744855638,0.610936308,0.712378616,0.548155084,0.466795167,0.937369175,0.788931937,0.625264501,0.524724154,0.756095657,0.665243335,0.464637187,0.554186677,0.398101412,0.29475201,0.325280182,0.418409949,0.368746091,0.45693857,0.350320376,0.466242123,0.347978737,0.339607132,0.392685669,0.291303426,0.272865093,0.317262281,0.304876797,0.279392343,0.358292278,0.229332795,0.203718397,0.222365843,0.245021965,0.252312929,0.209883608,0.189026042,0.217904501,0.155181487,0.149457799,0.199305911,0.219752629,0.195867791,0.247214819,0.27314348,0.200283667,0.224913376,0.192125238,0.144541835,0.26138482,0.156797638,0.204403491,0.181599802,0.202711557,0.171098061,0.137224228,0.088841258,0.150146626,0.129252238,0.141964016,0.116347118,0.092613136,0.086628703,0.094500045,0.1175184,0.118876745,0.094171833,0.080704409,0.074384354,0.0906222,0.057054431,0.072396271,0.095302408,0,0.071206107,0.074956277,0.066035012,0.087607576,0.066023462,0.111954656
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,21.04006074,24.48157367,24.09663895,22.39780836,21.1964741,20.4505055,24.46892468,30.20951897,31.03690782,28.55686873,34.57149897,36.29150166,39.36191947,39.28539998,38.39612251,43.54452517,39.8955915,40.41327615,32.39046909,51.75862319,51.48867667,57.92771788,67.07031908,65.48512018,70.8455891,64.76382183,63.9996475,50.13264487,51.8596303,57.82312496,57.46788004,61.92679294,61.56239811,48.82614938,49.70860025,54.25932894,53.09106725,44.60362011,45.62024287,46.14445669,42.47506905,43.63903565,40.78720489,39.78959822,35.48531677,37.64330511,33.9346149,35.19944593,32.50269145,33.72783725,32.36423954,32.6468633,36.47308845,29.61428259,31.95138302,32.95379943,32.47695161,32.87869259,35.8905758,37.81203534,37.81389057,35.4192919,36.39963969,35.23818737,34.27734674,33.06397933,31.87870104,30.66111212,29.48352455,23.34548618,22.9612018,20.69094333,19.72840974,19.28445855,18.00270527,18.00937739,17.21094871,14.69272885,13.79512115,13.44975164,13.26850422,12.7997867,14.24904714,12.57981655,13.11043775,12.65148945,10.17940302,10.66914314,9.647626525,9.718205259,10.19124846,9.621177118,10.1366494,10.11281521,9.455550709,9.436780835,9.061111896,9.668447929,10.04829887,10.58537166,12.30016038,12.27524232,11.83800737,12.23805935,12.35142336,13.29777097,15.13038771,14.17975158
d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales,0.075542375,0.065055503,0.069798685,0.050249373,0.044337491,0.024400346,0.013318194,0.01020702,0.02403405,0.012350298,0.047168393,0,0.011774428,0,0.035535538,0.071712628,0.028489423,0.026153731,0.064735629,0.0423765,0.017378181,0.023625456,0,0.003270022,0,0.012615911,0,0.01917361,0.040398913,0,0.026087095,0.023576599,0.015155638,0.019355675,0.008830006,0.018804903,0,0.051209621,0.032390116,0,0.034817983,0.025892793,0.025161801,0.015059234,0.017289698,0.022692052,0,0.031001828,0.024410536,0.034797834,0.025391202,0.047961572,0.018998084,0.0134748,0.01705708,0.044037726,0.038536892,0.025080444,0.047215614,0.031830978,0.009750024,0.040836961,0.052565206,0.022260401,0.009360037,0.0211852,0,0,0.041235702,0.067864756,0.034362807,0.06258608,0.040350713,0.041328357,0.051408735,0.053543088,0.027232469,0.040659903,0.055340313,0.059958392,0.058580601,0.052652389,0.037641591,0.033605907,0.028556115,0.026112448,0.028372474,0.043681205,0.033679421,0.021609725,0.024751015,0.069646533,0.0300629,0.049762302,0.031390611,0.030029494,0.024794818,0.0249992,0.046986061,0.023270191,0.024594176,0.040440494,0.029669203,0,0.022968704,0.037166832,0.025675785,0.006999997
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales,0.166193245,0.162638808,0.118120774,0.127298325,0.107676679,0.137251709,0.129852744,0.214348415,0.204288978,0.185253773,0.150349276,0.1231209,0.144236737,0.118298982,0.1865614,0.158365502,0.147627109,0.165640098,0.262179228,0.152555299,0.11875097,0.159925942,0.108777418,0.127460172,0.071139895,0.088311475,0.063194434,0.092672551,0.136346444,0.106249749,0.128428837,0.132618196,0.093965235,0.276510039,0.306152708,0.223308736,0.239688778,0.361479957,0.269087136,0.233743888,0.281445611,0.265400908,0.197699507,0.225889015,0.293924364,0.269468289,0.405013803,0.282116374,0.40277459,0.414674593,0.498302047,0.548560877,0.326133214,0.596260686,0.50147914,0.640241373,0.722566453,0.682546867,0.687998284,0.709831133,0.698306704,0.745955878,0.728903884,0.674171624,0.567078126,0.653713503,0.684065067,0.728209396,0.694134239,0.678647861,0.683819093,0.804230537,0.654923617,0.613567533,0.632970363,0.655115502,0.563503555,0.697026054,0.664084261,0.659542012,0.629741406,0.721337248,0.69808014,0.694522341,0.65996396,0.678924048,0.693548714,0.758961588,0.701144516,0.58037566,0.65280914,0.674079324,0.5766603,0.539092109,0.694081343,0.628743401,0.655683977,0.753101502,0.765201136,0.72396291,0.713231015,0.687488195,0.631953763,0.585235859,0.68331912,0.698206007,0.623555338,0.745197905
d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__uncultured,0.042303686,0.047313121,0.037583892,0.023449694,0.053838389,0.045750536,0.016647793,0.017011733,0,0.024700496,0,0,0.020605248,0.020279777,0.035535538,0.032868304,0.049209003,0.023247728,0.029131003,0.0480267,0.057927337,0.025442807,0.018129536,0,0.009699999,0.006310005,0,0.009590005,0.005050002,0,0.018060343,0.00589,0,0,0.041212828,0.011753102,0,0.021086291,0.01993241,0.008549967,0.037719531,0.032365967,0.0143781,0.009039961,0.027663497,0.022692052,0.003460011,0.02170126,0.017087405,0.002900011,0.019043402,0.053956768,0,0.0202122,0.01705708,0.016937633,0.028902694,0.008959944,0.006740173,0.006370016,0.005850014,0.019057295,0.024530403,0.019080301,0.031816225,0.0121058,0.003170006,0.0127198,0.017181501,0.035548234,0.020617704,0.025034392,0.021727292,0.022253707,0.035343486,0.028346388,0.012568886,0,0.04304251,0.024528415,0.0497935,0.028958794,0.027375694,0.019603504,0.028556115,0.013056224,0.025219966,0.038221104,0.045926465,0.030871079,0.018563286,0,0.0191309,0.024881151,0.017439206,0.015014797,0.024794818,0.031249,0,0.018099093,0,0.034218895,0.032636103,0.031712317,0,0.03451213,0,0
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales,0.123889459,0.076883758,0.080536882,0.046899388,0.069673186,0.033550413,0.043284281,0.051035299,0.033046732,0.030875595,0.032428295,0.025920221,0.055928531,0.027039736,0.079954886,0.05976059,0.059568893,0.061025273,0.084200298,0.093199999,0.05503094,0.03816416,0.021151126,0.045754913,0,0,0,0.038347221,0.03029921,0.023242189,0.036120585,0.053047298,0.033342483,0.055302028,0.020606414,0.018804903,0.032390413,0.057234347,0.024915513,0.048459111,0.011605994,0.016182983,0,0,0.027663497,0.022692052,0.020769967,0.015500914,0.021969492,0,0.031739003,0,0,0.0134748,0.020468496,0.016937633,0,0.026871933,0,0.035014086,0.013654033,0,0,0.022260401,0.016843866,0.00605,0,0.0158998,0,0.02908491,0,0.015646495,0,0.015895491,0,0,0.012568886,0.020329902,0.012297903,0.008179972,0,0.023693595,0.006839998,0,0,0,0.022067458,0.021840603,0.018370566,0.021609725,0.021657201,0,0,0.022100045,0,0,0,0,0.00670998,0.010299996,0,0,0,0,0,0,0,0
d__Bacteria;__;__;__,0.063455579,0.068012567,0.077852283,0,0.028502694,0.067100827,0.026636489,0.023816446,0.02403405,0.027788096,0.056012491,0.048600339,0.088308207,0.074359349,0.097722705,0.137449236,0.121727633,0.177263912,0.148891927,0.141254899,0.05503094,0.079962921,0.042302352,0.042486691,0,0,0.036693491,0.044700024,0.053000017,0.066406068,0.098328266,0.047199999,0.081840705,0.06083222,0.097144566,0.06346671,0.058302684,0.08133305,0.069763335,0.031399878,0.1015525,0.03883914,0.071890702,0.057199751,0.058784893,0.093604738,0.197000634,0.167409731,0.236782627,0.162000622,0.266607425,0.299760024,0.291303426,0.299814693,0.347965124,0.30148931,0.34683183,0.255998412,0.283007274,0.25800063,0.244000595,0.217797358,0.185730321,0.184443207,0.164695946,0.0968464,0.136000252,0.136737999,0.158070209,0.261764188,0.19243154,0.194016737,0.180026373,0.146238877,0.134947966,0.135432563,0.232523734,0.212012117,0.347414484,0.337947128,0.275328802,0.265894344,0.232693347,0.285650358,0.184028442,0.172995043,0.258504476,0.212946025,0.162273582,0.200661762,0.114473633,0.238788315,0.0683247,0.248811712,0.139513849,0.15014767,0.159788516,0.199993801,0.161094923,0.230116808,0.313575699,0.239532063,0.148345915,0.22775184,0.195234034,0.169905648,0.161390806,0.181926228
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales,0.27195251,0.19516651,0.144966368,0.12394834,0.104509779,0.115901419,0.02330689,0.02041414,0.108152976,0.06792639,0.029480295,0.048600339,0.0853646,0.037179674,0.133258143,0.131473217,0.170936736,0.139486367,0.148891927,0.056502,0.112958276,0.059972266,0.003019989,0.075168814,0,0.003150003,0.014269746,0.079890144,0.095947531,0.089648257,0.10434838,0.082517998,0.009090023,0.146550308,0.041212828,0.084622314,0.022673299,0.153628962,0.067271834,0.031355878,0.159582571,0.051785587,0.068296202,0.036142242,0.086448389,0.042547672,0.065771512,0.089905261,0.078113895,0.057996423,0.044434604,0.065947161,0.050661491,0.111167297,0.07505125,0.115175745,0.105976378,0.057326744,0.077568394,0.003180008,0.048764419,0.027224707,0.056069506,0.050880902,0.031816225,0.0303,0.041170576,0.0731389,0.030926802,0.038779846,0.041235309,0.093879069,0.058974134,0.114447795,0.057834814,0.081889475,0.05237024,0.145213811,0.058414814,0.035399877,0.090799901,0.073713284,0.041099991,0.081214316,0.006350026,0.055489027,0.075659898,0.049141406,0.058173609,0.033958197,0.083534789,0.059697029,0.0273299,0.033174868,0.013951405,0.028152719,0,0.0187494,0.040299881,0.02585579,0.036891265,0,0.056371506,0.060541623,0.011484402,0,0.029343783,0.027988689
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales,0.138997954,0.097583305,0.110067076,0.070349082,0.044337491,0.054900704,0.039954683,0.078254151,0.051072294,0.052488592,0.06190859,0.025920221,0.050041317,0.070979369,0.044419348,0.05976059,0.108777896,0.107520728,0.126234447,0.0452016,0.060823633,0.049068163,0.039280762,0,0,0.031539827,0.028539393,0.047934026,0.032824111,0.023242189,0.064214418,0.061888498,0.048498221,0.052536931,0.052987936,0.030558005,0.029151342,0.051209621,0.062288731,0.0513096,0.046423977,0.022656157,0.039539901,0.021083008,0.055326893,0.031201546,0.051924867,0.062003556,0.070790664,0.055096612,0.072999707,0.074939956,0.072825856,0.040424499,0.064817003,0.023712606,0.067439486,0.059118233,0.057333174,0.050929624,0.0409621,0.054449314,0.038547804,0.057241002,0.061760942,0.0242116,0.044337582,0.0317995,0.037799402,0.084023117,0.065289264,0.084491172,0.058974134,0.076298597,0.035343486,0.069291025,0.064939026,0.078415406,0.070712717,0.073585245,0.058580601,0.052652389,0.037641591,0.04760841,0.041247766,0.048960865,0.056744848,0.038221104,0.076544175,0.046306568,0.068065417,0.04228542,0.0792566,0.044233191,0.041854115,0.04879804,0.04132463,0.062498,0.036917591,0.04912608,0.033816968,0,0.023735402,0.028829306,0.043066308,0.045131139,0,0.045481582
d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2,0.009069997,0,0,0,0,0,0,0,0,0,0,0,0.011774428,0,0,0.017928157,0,0,0,0,0,0,0.012086358,0,0,0.006310005,0,0,0,0,0,0,0,0,0,0,0,0,0.012457706,0.008549967,0,0,0.017972701,0.018071121,0.020747597,0.017019089,0,0.02170126,0.051262215,0.043497367,0.142825413,0.173860798,0.161483416,0.316658192,0.474187713,0.450540222,0.333986232,0.209601,0.094431127,0.082760602,0.062418452,0.07350661,0.028034803,0.047700802,0.076733301,0.0726348,0.057005406,0.0317995,0.068726204,0.090486341,0.099652071,0.137689255,0.201753764,0.228895691,0.247404704,0.330707389,0.590736024,0.670887552,0.556478035,0.179875076,0.0410064,0.039489292,0.047907489,0.053209411,0.019037377,0.016320255,0.059897357,0.054601506,0.052049987,0.114222861,0.083534789,0.12436886,0.1175184,0.232224278,0.376687332,0.290911067,0.410491199,0.284366101,0.281916166,0.191333023,0.08300532,0.087102587,0.083073708,0.072073366,0.063163911,0.053095546,0.055019568,0.02449009
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,0.39299987,0.372590637,0.394630812,0.278046343,0.323030036,0.295853708,0.346274051,0.2585791,0.252356978,0.191428872,0.135609179,0.097200679,0.126575096,0.145338718,0.171755018,0.179281669,0.119137686,0.122050546,0.139181593,0.081927799,0.081098211,0.070876269,0.05136712,0.039218468,0,0.022100019,0.012231197,0.041542823,0.055548518,0.049804576,0.032107209,0.029470699,0.033342483,0.058067124,0.038269126,0.016454303,0.003240171,0.018073978,0.027407014,0,0.023211989,0,0,0,0,0.002840032,0,0.003101423,0.048821172,0.023198589,0,0.05095917,0,0,0.003410316,0.044037726,0.022479795,0.041203644,0.02023522,0,0,0,0.028034803,0.022260401,0.031816225,0.0181587,0.044337582,0,0,0.042011559,0.010308852,0.012517196,0.003099471,0.009538974,0.035343486,0.022047113,0.014663683,0.063894105,0.049191412,0.021803024,0.0468645,0.044754491,0.08554908,0.036406407,0.066630969,0.039168672,0.028372474,0.051871506,0.079605886,0.04321945,0.049502131,0.052234925,0.0601257,0.049762302,0.048829817,0.050674815,0.071629352,0.0906222,0.057054431,0.103423259,0.08300532,0.146207878,0.195816619,0.230634851,0.206718336,0.334501691,0.278765938,0.307875178
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales,0.015108495,0.008870191,0.010738298,0.033499549,0,0,0,0,0,0,0,0,0.008830021,0,0.035535538,0.05677248,0.036259265,0.07555509,0.055025295,0.0310761,0.00868999,0.005450151,0.012086358,0,0,0.015769913,0.016308196,0.031956017,0.032824111,0.023242189,0.048160814,0.026523599,0.021217953,0,0,0,0.012956185,0,0,0,0,0,0.00719,0.021083008,0,0,0,0.015500914,0,0.011599245,0,0,0,0,0.010234248,0.013550047,0.016056997,0.071658456,0.067450834,0.117774688,0.130688719,0.092563905,0.157695518,0.27348471,0.224585381,0.211851601,0.253357469,0.295735698,0.271468315,0.365177178,0.19243154,0.265990613,0.307286452,0.314731562,0.340583004,0.337006564,0.425246214,0.206203516,0.295148572,0.340672518,0.287044903,0.313281534,0.314820428,0.515290805,0.475935518,0.600586704,0.381451797,0.461383154,0.428647338,0.509372249,0.430049603,0.447728015,0.3798852,0.453390333,0.411565844,0.240236253,0.391206385,0.340614401,0.258423135,0.302513079,0.264387346,0.339077948,0.317460331,0.325771702,0.307206454,0.289370552,0.3447894,0.234405007
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales,3.462862254,3.161106685,2.74899269,2.425368437,2.299214145,2.131976669,2.407270765,2.524548186,2.42743408,2.420649247,1.969281291,1.678332058,1.736728462,1.737304956,1.915956423,1.972098157,2.038290698,2.188192813,2.796578903,1.791112186,1.639342503,1.613798022,1.142162491,1.085045623,0.843977339,0.933577989,0.770564308,1.128048416,1.090771749,1.182028835,1.234120615,1.240716663,1.039680099,2.781691364,2.564028846,2.287151868,2.11011161,3.446109342,3.23652083,2.839132625,3.307710772,3.589385886,4.327821847,5.303874275,6.998858046,6.710074442,8.709526827,9.174210412,10.07424765,10.54665501,12.19094285,12.88368542,12.25057548,14.99747314,14.40133366,17.25602949,19.49002464,21.36317811,22.10363033,23.02017332,23.72487109,26.77818253,25.44505483,24.30197887,23.71434668,25.8156287,27.97699631,28.40652513,29.75842917,29.13338292,31.78212449,33.80584705,34.19416371,35.69616216,35.01900501,35.91166861,35.96158196,38.68204302,40.76432151,41.43123098,41.08256967,41.79280418,40.5947277,40.06385933,40.68614301,40.79419882,42.38528154,40.95389375,41.00624007,39.24018646,39.26136714,39.34285398,37.879202,38.22577807,39.96374039,40.93400756,41.13177274,42.41117483,42.18003359,41.93813608,38.69278132,38.48689761,38.67379113,37.02553519,37.24663302,36.03592385,34.48628006,34.81788501
d__Bacteria;p__Armatimonadota;c__uncultured;o__uncultured,0.075542375,0.041400893,0.051006689,0.050249373,0.044337491,0.033550413,0,0.027218853,0.039055219,0.027788096,0,0.019440116,0.03830009,0.020279777,0.017767719,0.026892285,0.036259265,0.058119369,0.058262106,0.0339012,0.026099971,0.036301008,0,0,0,0,0,0.035151619,0.027774309,0.033203084,0.020066981,0.023599999,0.003030008,0.041476546,0.047100432,0.025856804,0.022673299,0.024098704,0.034881718,0.011402156,0.02031054,0.012946347,0,0.021099908,0.020747597,0,0.024231578,0.037202174,0.021969492,0,0.038086804,0.044963974,0.037996069,0.0202122,0.037525675,0.057587873,0.022479795,0.035829278,0.026980293,0.019098547,0.039011495,0.032669649,0.049060806,0.050880902,0.009360037,0.0181587,0.031669659,0.0540592,0.013745201,0.051706495,0,0.015646495,0.034142972,0.031791082,0.019278238,0.06299185,0.048180645,0.055181204,0.058414814,0.032704587,0.0410064,0.018428296,0.051329388,0.011202002,0.015864564,0.052224896,0.018914949,0.021840603,0.045926465,0.033958197,0.052596045,0.039798019,0.0273299,0.022116646,0.034878412,0.022522196,0.033059724,0.0156245,0.01342456,0.043954882,0.018445582,0.027997296,0.047470705,0,0,0.03451213,0.044015674,0.02449009
