,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Proteobacteria,2.104945258,1.564255395,1.277851679,1.162440098,1.041930641,0.969926203,0.865685577,0.769025744,0.694006281,0.83980726,0.636773724,0.806765202,0.715261661,1.270914305,1.382392999,1.416320542,1.489247195,1.208886064,1.106975097,1.102098454,1.123790831,1.243024805,1.244951523,1.585078513,0.630557772,1.075506241,0.851792163,0.731812243,0.767579935,4.23517676,0.612095709,0.577625823,0.800218234,0.69679425,0.685899317,0.716939854,0.871255059,0.668735097,0.73286784,0.604315195,0.699442799,0.436935571,0.503220628,0.442735528,0.4426156,0.365917925,0.477708418,0.303677819,0.390434403,0.391474586,0.495128096,0.344724194,0.231000107,0.188647501,0.279710706,0.535234316,0.3436205,0.822002058,0.856603165,0.655724048,0.563715672,0.639788926,0.46607792,0.788653601,0.74487204,0.892809759,0.813908839,1.243361798,1.04120133,0.843459227,0.903780144,0.735386309,0.831988119,0.995167166,0.996047775,1.045686554,0.948993134,1.083294674,1.116068143,1.267305938,1.291702088,1.424246396,1.262704,1.487061697,1.500777274,1.527564613,1.59831042,1.441480803,1.647224512,1.577501279,1.726382005,1.487450897,1.959552327,2.112026247,1.695092605,1.934951501,2.250822806,1.796818802,2.225134981,1.931430259,1.690850975,1.794935738,1.8394897,1.715339933,1.8489809,1.930020351,1.698272369,2.018682313
d__Bacteria;p__Actinobacteriota,7.021517412,6.055945319,5.683218738,4.84740879,4.87078809,4.495821413,5.333954756,5.427415959,5.522006745,5.270408119,4.410247468,3.625583207,3.726425229,3.451073214,3.910366496,3.887411341,4.063702352,4.364776229,5.428062295,3.424982862,3.513294398,3.103927317,2.257230103,2.454420589,1.616814827,2.005929576,1.842153421,2.348829543,2.588057216,2.624148713,2.64304953,2.510904298,2.224849296,5.284023118,4.969090524,4.369806943,3.792712422,6.06078857,5.389320799,4.187448399,4.959948895,4.835420581,5.334138501,6.246486427,8.1883883,7.73817225,9.952258848,10.22588656,11.35187909,11.54704897,13.19706719,13.83992786,12.9318321,15.82954355,15.32269101,18.12005128,20.46308492,22.30926406,22.87872299,23.583785,24.38606474,27.46463936,26.25806113,25.07791133,24.43105392,26.53612193,28.5691503,28.98527674,30.34947338,29.75051805,32.36769919,34.54124931,34.9155602,36.39514056,35.61674205,36.51398828,36.39498568,39.41391998,41.29451957,41.99007091,41.70059422,42.42200857,41.0772337,40.50912952,41.02547485,41.26056495,42.78238711,41.42619248,41.41943019,39.58262539,39.59540707,39.63385011,38.21810268,38.55000841,40.19043642,41.17261512,41.34130632,42.60491864,42.38160543,42.13465632,38.88342292,38.55845507,38.8607032,37.24738225,37.37582742,36.18987222,34.61834658,34.9788321
d__Bacteria;p__Fermentibacterota,0.075500193,0.065054087,0.069798666,0.0502496,0.044337502,0.0244007,0.0133182,0.010208258,0.024034899,0.012350154,0.047168402,0,0.011773853,0,0.0355219,0.071712397,0.028489918,0.026153818,0.064735394,0.042388429,0.0173782,0.023624773,0,0.003270016,0,0.0126159,0,0.019174102,0.040398902,0,0.026102721,0.023576601,0.015155601,0.019355365,0.00883,0.018804933,0,0.0512094,0.032405715,0,0.034827,0.025892498,0.025161076,0.015058998,0.0172897,0.022692571,0,0.030987561,0.0244021,0.034797699,0.0253912,0.047961599,0.018998809,0.0134748,0.0170555,0.044038222,0.0385369,0.025080663,0.047214393,0.031831252,0.009750003,0.040837548,0.052565202,0.0222604,0.009360001,0.021185358,0,0,0.041235701,0.067864502,0.034364302,0.062586109,0.040357601,0.041332799,0.051408894,0.053544183,0.027232303,0.040659903,0.055342176,0.059958588,0.058580599,0.0526524,0.0376416,0.0336059,0.028555998,0.026112199,0.028372402,0.0436812,0.0336793,0.0216096,0.024750953,0.069646486,0.030062908,0.049759734,0.0313906,0.030028306,0.024794911,0.0249992,0.046986286,0.0232702,0.0245942,0.040440503,0.0296692,0,0.022968701,0.037166803,0.0256758,0.007
d__Bacteria;p__Synergistota,0.166100444,0.162635268,0.118120743,0.1272989,0.107676704,0.1372537,0.129852796,0.214374411,0.204296194,0.185251607,0.150349306,0.1231208,0.144229698,0.1183032,0.1864898,0.158364994,0.147629673,0.165640649,0.262178276,0.152598244,0.118751103,0.159921321,0.108782215,0.127459912,0.071139897,0.088311403,0.063171197,0.092674924,0.136346406,0.106294596,0.128439789,0.132618205,0.093965004,0.276505618,0.306152508,0.223309091,0.239676089,0.361478398,0.269216725,0.233744605,0.2815185,0.265397882,0.197693815,0.225885473,0.2939244,0.26947445,0.405013702,0.281986546,0.402635403,0.414672985,0.498301996,0.548561191,0.326145651,0.596260702,0.50143271,0.640248585,0.722566601,0.682552809,0.687980491,0.709837247,0.698305213,0.745966612,0.728903831,0.674171601,0.567075931,0.653718376,0.684063412,0.728209399,0.69413422,0.678645322,0.683848834,0.804230919,0.655035415,0.613633479,0.632972321,0.65512891,0.563500123,0.697026047,0.664106618,0.659544163,0.629741394,0.721337398,0.6980803,0.694522199,0.659961245,0.678917561,0.693546952,0.758961502,0.701142005,0.580372292,0.652807501,0.674078862,0.576660455,0.539064289,0.694081102,0.62871853,0.655686444,0.753101501,0.765204803,0.723963185,0.713231689,0.687488353,0.6319537,0.585233677,0.683319037,0.698205454,0.623555689,0.745198168
d__Bacteria;p__Sumerlaeota,0.042280064,0.05322609,0.067114067,0.0234498,0.053838402,0.0518514,0.0166478,0.017013796,0,0.030875235,0,0,0.032378095,0.0270407,0.0355219,0.032868199,0.054389943,0.037777671,0.077682493,0.04804022,0.063720102,0.025442071,0.018130336,0,0.0097,0.00631,0,0.009590251,0.00505,0,0.018061883,0.00589,0,0,0.044156601,0.011753121,0,0.0331355,0.019942009,0.008549993,0.0377293,0.032365598,0.014377687,0.009039819,0.0380373,0.022692571,0.00346001,0.021691273,0.0170815,0.017398899,0.0190434,0.053956799,0,0.0202122,0.027288901,0.016937824,0.0289027,0.017914745,0.006739999,0.025464981,0.005850002,0.019057569,0.024530401,0.0381607,0.031816102,0.042370616,0.012667793,0.0127198,0.0171815,0.080791103,0.058419203,0.06571541,0.021731,0.022256099,0.048195894,0.028346968,0.029327188,0,0.043043959,0.024528495,0.067367699,0.0500197,0.0273757,0.0196035,0.038074697,0.013056099,0.025219902,0.0382211,0.0459263,0.0308709,0.01856324,0.027361094,0.019130905,0.041466445,0.0348784,0.018767704,0.035814761,0.031249,0,0.025855799,0.0153714,0.034218903,0.0326361,0.031712199,0,0.034512103,0.0110039,0
d__Bacteria;p__Acidobacteriota,0.256700595,0.171506267,0.142281831,0.1071991,0.129845505,0.0610016,0.079909398,0.098680257,0.063091498,0.098800831,0.076648703,0.0486003,0.088303896,0.0777421,0.1716891,0.149400894,0.132089718,0.151110783,0.158601685,0.152598244,0.110062003,0.049066745,0.021152058,0.065364014,0,0,0,0.092674924,0.075748003,0.049825598,0.066226704,0.097253304,0.045466902,0.080186613,0.085369402,0.047012482,0.080971696,0.120492799,0.06481143,0.088366826,0.046436,0.032365598,0.01078329,0.027106257,0.0657008,0.022692571,0.12115796,0.099160075,0.070766201,0.034797699,0.082521299,0.047961599,0.041164019,0.0707428,0.068222101,0.105014368,0.0738624,0.093156833,0.067449089,0.07957818,0.085825226,0.065340138,0.091113004,0.1017618,0.048660003,0.072635342,0.044337475,0.0731389,0.082471402,0.132497404,0.075601404,0.125172119,0.096237402,0.143075195,0.118883085,0.122836627,0.123593006,0.162639411,0.141430095,0.092663281,0.125948299,0.1526919,0.1334565,0.1372242,0.130088489,0.137089092,0.182844214,0.1010129,0.195952401,0.151267198,0.179444685,0.144267771,0.153047341,0.193510211,0.170904401,0.14263463,0.173564079,0.1406206,0.140958759,0.152549397,0.095302499,0.077770206,0.109776,0.115316996,0.111972406,0.103536208,0.099035298,0.108456095
d__Bacteria;__,0.063420146,0.068011087,0.077899962,0,0.028502701,0.0671018,0.026636499,0.023819335,0.024034899,0.027787771,0.056012502,0.0486003,0.088303896,0.074362,0.0976852,0.137448794,0.121729748,0.177264501,0.148891386,0.141294663,0.055031002,0.07996061,0.042304217,0.042486604,0,0,0.036679998,0.04473957,0.053023602,0.066434098,0.098336651,0.047153102,0.081840504,0.060831248,0.097144502,0.063466811,0.058299597,0.0813327,0.069796932,0.031355974,0.1015788,0.038838697,0.071888633,0.057224353,0.0587849,0.093606878,0.197000585,0.16699979,0.236700802,0.162389394,0.266607398,0.299760195,0.291314535,0.299814701,0.347932907,0.301492706,0.3468319,0.256181241,0.283286055,0.25783325,0.243821674,0.217800492,0.185730308,0.1844432,0.164695309,0.096847122,0.136179323,0.136738,0.158070205,0.261763208,0.192439909,0.194000029,0.180057104,0.146254595,0.134948383,0.135435335,0.232998314,0.212012114,0.34742618,0.33794823,0.275328798,0.265894399,0.2326934,0.285650299,0.184027685,0.17299339,0.258503819,0.212946,0.162273001,0.200660597,0.114473346,0.238788151,0.068324718,0.248798872,0.1395138,0.150141731,0.159789117,0.1999938,0.161095695,0.230116895,0.313575995,0.239532118,0.1483459,0.227750991,0.195234011,0.169905513,0.161390897,0.181926292
d__Archaea;p__Thermoplasmatota,0.138920338,0.097599981,0.110067047,0.0703494,0.044337502,0.0549015,0.046613799,0.078263642,0.051074099,0.052487979,0.061908602,0.0259202,0.050038875,0.0709819,0.0444023,0.059760398,0.108779786,0.107521086,0.126233988,0.045214324,0.060823702,0.049066745,0.039282494,0,0,0.031539801,0.028528899,0.047935254,0.042923902,0.023251999,0.064219895,0.061888502,0.048498102,0.052536091,0.052987901,0.035259362,0.029149799,0.0512094,0.062318729,0.051309757,0.046436,0.022655899,0.039538763,0.021082678,0.0553269,0.031202259,0.058848175,0.061975022,0.070766201,0.063795898,0.088869099,0.074939999,0.088660941,0.0404245,0.075044302,0.023712874,0.0674395,0.066284666,0.070821489,0.050930063,0.048764315,0.054450098,0.038547802,0.057241,0.061760703,0.024211781,0.044337475,0.0317995,0.037799401,0.084022803,0.082474204,0.084491213,0.058984201,0.076306797,0.035343596,0.088190455,0.071223085,0.092936806,0.070715098,0.084487083,0.058580599,0.0526524,0.0479075,0.0560099,0.041247597,0.048960397,0.066202205,0.0491414,0.094914401,0.061741699,0.068065246,0.042285391,0.079256621,0.044230908,0.0418541,0.04879611,0.049589723,0.062498,0.036917768,0.049126099,0.033816999,0,0.0237354,0.028829199,0.043066302,0.045131104,0,0.045481598
d__Bacteria;p__WPS-2,0.009064932,0,0,0,0,0,0,0,0,0,0,0,0.011773853,0,0,0.017928099,0,0,0,0,0,0,0.012086891,0,0,0.00631,0,0,0,0,0,0,0,0,0,0,0,0,0.012463706,0.008549993,0,0,0.017972183,0.018070838,0.0207476,0.017019478,0,0.021691273,0.0512445,0.043497198,0.142825399,0.173860897,0.161489575,0.316658201,0.474143809,0.450545297,0.3339863,0.209602825,0.094428685,0.082761315,0.062418319,0.073507667,0.028034801,0.0477008,0.076733004,0.072635342,0.057005268,0.0317995,0.068726202,0.090486003,0.099656405,0.13768932,0.201788205,0.228920292,0.247405469,0.330714157,0.590732426,0.670887546,0.556496769,0.179875663,0.0410064,0.0394893,0.0479075,0.0532094,0.019037298,0.016320099,0.059897204,0.0546015,0.0520498,0.114222199,0.083534579,0.124368775,0.117518432,0.232212294,0.376687201,0.29089956,0.410492743,0.2843661,0.281917517,0.191333096,0.083005399,0.087102607,0.0830737,0.072073097,0.063163903,0.053095504,0.055019599,0.024490099
d__Bacteria;p__Armatimonadota,0.075500193,0.05026909,0.051006675,0.0602995,0.044337502,0.0335509,0,0.027222154,0.039056599,0.027787771,0,0.0194401,0.038265022,0.0304208,0.0266414,0.026892199,0.036259895,0.058119563,0.058261895,0.050866115,0.043445501,0.036345759,0,0,0,0,0,0.03515252,0.027774301,0.033217099,0.020068692,0.023576601,0.00303,0.041475883,0.047100401,0.025856845,0.022672099,0.0240986,0.034898516,0.01140219,0.0203158,0.012946199,0,0.030118096,0.0207476,0.005670193,0.024231572,0.037185053,0.0317228,0,0.0380868,0.044963999,0.037997518,0.0202122,0.037522201,0.057588521,0.0578053,0.037620994,0.06407659,0.041380657,0.040962012,0.032670119,0.049060802,0.0826814,0.009360001,0.045397139,0.053838369,0.0540592,0.0137452,0.074327802,0.020618601,0.050068807,0.055879801,0.031794499,0.019278298,0.062993139,0.048180351,0.060989804,0.098386136,0.062683987,0.058580599,0.0684481,0.0513294,0.0532094,0.015864499,0.052224397,0.018914901,0.0245707,0.085729201,0.033958,0.052595913,0.057209688,0.062858717,0.069110775,0.0802204,0.071317315,0.082649571,0.0593731,0.063767017,0.106008898,0.046114099,0.065326905,0.0979083,0.040360898,0.054550703,0.079643206,0.069691499,0.094461696
d__Archaea;p__Euryarchaeota,0.863722147,0.810219242,0.794630514,0.653244399,0.566886222,0.515463902,0.539388685,0.445762718,0.426618588,0.422991193,0.336075013,0.317522001,0.432689193,0.547574802,0.603871899,0.567723377,0.696997985,0.758003426,0.796245226,0.641477825,0.475004313,0.490667649,0.338433434,0.323552154,0.190784191,0.321705712,0.183400192,0.527288293,0.459537921,0.375352888,0.451546072,0.436166517,0.339486515,0.60831248,0.653517816,0.418410732,0.356275283,0.608488697,0.548404554,0.342065214,0.4527513,0.317182879,0.29833792,0.349369499,0.4391576,0.360244832,0.401551992,0.393541706,0.478282104,0.371175886,0.466562996,0.431654693,0.278648729,0.501937002,0.453677209,0.426832423,0.4688654,0.442494808,0.401321937,0.366059546,0.335498602,0.381150786,0.343425815,0.3307257,0.351849119,0.384362167,0.323029917,0.273475999,0.415793312,0.491209916,0.429553321,0.575791785,0.524649212,0.565941781,0.420910547,0.437802524,0.282997953,0.453066931,0.510378205,0.378829122,0.442283496,0.426484099,0.3969476,0.422874399,0.469587761,0.466755873,0.441348033,0.447732701,0.447016303,0.407495395,0.356000764,0.457677207,0.431812116,0.464424587,0.317393901,0.476699999,0.393962869,0.3812381,0.463000849,0.390422992,0.528775192,0.451067035,0.4480047,0.50451178,0.422050023,0.411489932,0.396141293,0.437322881
d__Bacteria;p__Bdellovibrionota,0.033220129,0.005909999,0,0.0435496,0,0,0.00666,0.030600173,0.0120174,0,0,0,0.023547706,0.0202805,0.0503227,0.050796298,0.069929898,0.063931489,0.129470788,0.056517905,0.046341901,0.00908999,0.015108613,0,0,0.0126159,0,0,0.030299201,0,0.060206176,0.047153102,0.033342401,0.016590313,0.023550201,0.016454329,0,0.0271109,0,0.017103286,0,0.012946199,0.017972183,0,0.0172897,0.014182882,0,0.012394984,0.068326001,0.020298699,0.063477999,0.047961599,0.028498113,0.033687,0.047755501,0.081301395,0.0449597,0.078824997,0,0.028648117,0.042900013,0.035392529,0,0.0318005,0.028100002,0.054476506,0.022168687,0.0572392,0.051544601,0.132497404,0.099656405,0.06571541,0.117968503,0.044512298,0.070687291,0.069292443,0.06074906,0.037755603,0.039969355,0.070860085,0.0175742,0.0816112,0.0342196,0.0756133,0.053939095,0.039168298,0.091422107,0.0518715,0.0612351,0.058654599,0.058783626,0.089545582,0.103853528,0.110577321,0.0697569,0.058179912,0.077139546,0.0593731,0.063767017,0.056882799,0.064559799,0.043551303,0.0652722,0.046126798,0.074648304,0.021238202,0.055019599,0.083965996
d__Archaea;p__Halobacterota,10.8939099,9.610264826,6.834895978,6.190747388,4.756777486,4.126761412,3.442764807,3.372143749,2.827099221,2.985638362,2.473394194,1.986132704,4.02960194,4.529322318,5.260197695,5.745958464,7.987544908,8.069895876,9.855962783,5.841121714,5.407519151,4.109995389,2.81011404,2.591685148,1.209377446,2.09739488,1.611884231,5.592451293,4.057568683,3.275203392,5.364367019,3.993280856,3.112970334,4.714421469,3.876950397,3.04170532,3.076922955,3.744314181,3.098485537,3.141298974,2.931274697,2.210570454,2.404675646,2.686531265,3.1328884,2.289114727,3.198569497,2.915927038,2.647633021,2.229955017,2.310597582,2.34112706,2.08986517,2.435573507,2.827807357,3.170023195,3.301326303,4.218928564,3.7973824,3.860042669,3.784111754,3.23978198,3.570928154,4.254913204,4.162299925,4.200031328,4.015705823,4.000381592,4.188859621,6.233841999,5.123711551,5.986357086,6.09400234,5.516342212,5.912025761,5.570091907,4.357175676,4.519052307,4.430150213,4.853918095,5.055505055,4.772936686,4.0550252,5.13890439,4.99412978,4.478245045,4.640459348,4.82131641,5.235602137,5.244960232,4.430009507,4.355395511,4.564089728,4.289787437,4.108681212,3.986262825,4.08013292,3.865504204,3.383010604,3.555176225,2.800663958,2.921047925,2.5901202,2.692651295,3.054837965,2.867155324,2.622602053,3.036769969
d__Bacteria;p__Caldatribacteriota,0.181200402,0.109409179,0.093959654,0.0837493,0.079174103,0.0579516,0.059932098,0.061249846,0.081117598,0.058699305,0.044220402,0.0518403,0.07358658,0.0878824,0.0888047,0.095616596,0.121729748,0.110427099,0.142417887,0.073473277,0.095580103,0.063605029,0.030217226,0.035950273,0.012934499,0.047309702,0.00408,0.041543887,0.045448802,0.063112398,0.058199267,0.055994302,0.048498102,0.066361352,0.091257002,0.035259362,0.058299597,0.0481971,0.054840425,0.045599962,0.0696541,0.048548397,0.050322053,0.060236093,0.0760746,0.05389493,0.065771495,0.061975022,0.085407501,0.052196598,0.088869099,0.068944799,0.063329229,0.0437932,0.081866602,0.074526245,0.0931308,0.071659079,0.074193988,0.057296233,0.093627529,0.125235255,0.084104304,0.0985817,0.076733004,0.069608919,0.057005268,0.0476993,0.082471402,0.096949303,0.079037804,0.103267015,0.111759603,0.095383397,0.106030887,0.116537323,0.094265818,0.095841107,0.07993881,0.100839379,0.079083799,0.0947743,0.088971,0.1036182,0.092013792,0.084864695,0.107184508,0.0955527,0.125532001,0.080264299,0.052595913,0.072133885,0.051926814,0.080168528,0.0627812,0.071317315,0.079894559,0.0812475,0.083904054,0.090495398,0.058411199,0.099545808,0.0771399,0.083604797,0.091874805,0.082298006,0.051351599,0.048980198
d__Bacteria;p__SAR324_clade(Marine_group_B),0.045300076,0.020698996,0.018791891,0.0133999,0.019001801,0.0183005,0.019977399,0.003400019,0.00601,0,0.0117921,0,0.023547706,0,0.0414422,0.032868199,0.038849888,0.05521355,0.061498594,0.042388429,0.023170901,0.01817288,0.018130336,0.02287741,0,0,0,0.012782734,0.045448802,0.026573699,0.020068692,0.026523601,0.012124501,0.02488547,0.029437701,0.011753121,0.025910899,0.0391602,0.034898516,0.028505476,0.0261203,0.022655899,0,0.024094417,0.0276635,0.025529167,0.041539823,0.037185053,0.0219619,0.046396998,0.0349129,0.0119904,0.028498113,0.0168435,0.044344401,0.037263173,0.0353255,0.034038085,0.037096994,0.012732541,0.021456307,0.021780079,0.024530401,0.00954,0.029944602,0.015132413,0,0.0413394,0.037799401,0.045243001,0.037800702,0.056327508,0.043462101,0.054050598,0.048195894,0.050394532,0.039801112,0.075511205,0.036894851,0.038155492,0.0380774,0.0605502,0.0650173,0.0448079,0.034901797,0.042432398,0.047287304,0.0300308,0.0428646,0.049393399,0.021657146,0.04974749,0.03552881,0.041466445,0.0348784,0.033781907,0.041324786,0.0187494,0.030205455,0.036198199,0.0245942,0.049772904,0.035603,0.034595099,0.048808503,0.021238202,0.040347699,0.027988699
d__Bacteria;p__FCPU426,0.021140082,0.035484093,0.048322077,0.0200998,0.025335701,0.0244007,0.039954699,0.006810038,0.030043599,0.021612644,0.017688201,0.0226801,0.032378095,0.0608416,0.0532828,0.065736397,0.064749913,0.072649428,0.061498594,0.039562534,0.049238301,0.010903688,0.015108613,0,0,0,0.014264499,0.019174102,0.030299201,0.023251999,0.038130575,0.026523601,0.030311301,0.035945778,0.055931701,0.016454329,0,0.0391602,0.029913014,0.014252688,0.0261203,0,0,0.036141676,0.0345793,0.025529167,0.010384931,0.009299988,0.034163,0.037697499,0.031739,0.032973599,0,0.0269496,0.034111101,0.020325349,0.0610167,0.021497754,0.023607196,0.038197522,0.039011412,0.051727588,0.063078203,0.0349806,0.043045402,0.042370616,0.038003478,0.0413394,0.061853502,0.048474702,0.058419203,0.050068807,0.040357601,0.057230098,0.054621993,0.040945576,0.052369921,0.063894104,0.039969355,0.059958588,0.061509599,0.0526524,0.0787051,0.0560099,0.076149394,0.071808596,0.053592304,0.0573316,0.097976201,0.067915899,0.080440773,0.069646486,0.065591718,0.085697354,0.0662691,0.082577917,0.079894559,0.062498,0.080547848,0.069810699,0.055336899,0.059105305,0.0534045,0.086487697,0.080390504,0.114155309,0.080695399,0.073470197
d__Archaea;p__Micrarchaeota,1.117402731,0.863445332,0.65771778,0.475695999,0.361033714,0.329408901,0.312978592,0.244999384,0.219317994,0.302577619,0.25353031,0.2203214,0.326724517,0.381950302,0.520987499,0.528879178,0.821028426,0.659656582,0.86421742,0.457794733,0.448937013,0.370726684,0.274977159,0.277797234,0.22312049,0.236548309,0.220080291,0.530483977,0.356015716,0.269058291,0.527807122,0.300601212,0.287957312,0.21567437,0.244333206,0.209205366,0.242914989,0.186763899,0.209390797,0.171032657,0.2002554,0.190957087,0.258799157,0.234920892,0.3077561,0.226925905,0.231930889,0.148740213,0.278184502,0.226185292,0.282476898,0.293764995,0.221652403,0.1179047,0.201255304,0.267617158,0.3115065,0.229309074,0.229326864,0.267382656,0.23016767,0.217800492,0.23829551,0.2766648,0.224584512,0.19974729,0.221687274,0.2480364,0.268032008,0.429808714,0.336769817,0.431843864,0.43151621,0.324303689,0.456254143,0.321265101,0.349830969,0.281714719,0.258263657,0.286165841,0.289973897,0.334342499,0.273757,0.302453199,0.272868577,0.231745887,0.318401124,0.292118301,0.284743302,0.370450395,0.241322218,0.283560842,0.256900869,0.262621087,0.216246401,0.245857051,0.223153802,0.2437424,0.208081982,0.178405196,0.224421997,0.183537614,0.1335113,0.187390093,0.132070107,0.151322112,0.161390897,0.192422092
d__Bacteria;p__Elusimicrobiota,0,0.026612995,0.088590557,0.237848,0.316696212,0.579515602,0.935606275,1.156941336,1.285864464,1.086809437,0.804811231,0.596163801,0.394424171,0.246746701,0.1776094,0.149400894,0.080289868,0.124956965,0.090629592,0.042388429,0.066616502,0.099950788,0.117847382,0.114387149,0.025868999,0.129313105,0.132455694,0.118240393,0.21461941,0.166085395,0.164563455,0.144406506,0.142463106,0.124427548,0.135413603,0.136336138,0.093927096,0.0813327,0.097217145,0.079815233,0.0493383,0.042075297,0.046727656,0.078306931,0.051869,0.034038856,0.048463144,0.046481342,0.0244021,0.034797699,0.0444346,0.035971199,0.037997518,0.0134748,0.030700001,0.040650697,0.016057,0.021497754,0.043841893,0.060479369,0.025357408,0.040837548,0.028034801,0.0699612,0.087962305,0.069608919,0.072840059,0.0317995,0.061853502,0.090486003,0.072164904,0.071974011,0.058984201,0.022256099,0.086752589,0.062993139,0.041895897,0.034851302,0.003070104,0.040880792,0.0322193,0.0105305,0.0239537,0.0224039,0.025383098,0.039168298,0.0063,0.0273008,0.024494,0.033958,0,0.04974749,0.013664904,0.013822115,0,0,0,0.0249992,0.003360006,0,0,0,0,0.023063399,0.00861,0,0.00367,0.0104957
d__Bacteria;p__Campilobacterota,0.069460169,0.065054087,0.056375773,0.0167499,0.015834801,0,0,0,0,0.012350154,0,0.0259202,0,0,0.038482,0.050796298,0.025899925,0.052307536,0.061498594,0.019781267,0,0.039980355,0.078564888,0.156873753,0.135812394,0.170314806,0.191551392,0.147001545,0.080797904,0.707523677,0.078267959,0.050100202,0.087900004,0.038710831,0.032381501,0.05171369,0.029149799,0.066271,0.054840425,0.031355974,0.0435338,0.051784997,0.035944366,0.036141676,0.0484111,0.014182882,0,0.012394984,0,0.020298699,0.0126956,0.0239808,0,0,0,0.016937824,0,0.01612334,0,0.066845639,0.039011412,0.029947609,0.021026101,0.0636011,0.037400002,0.066582397,0.057005268,0.0922187,0.123707104,0.061401202,0.058419203,0.053198108,0.096237402,0.066768398,0.096391688,0.075591847,0.119403336,0.107458207,0.119908166,0.065409386,0.061509599,0.0684481,0.0752832,0.0840148,0.142780088,0.101184794,0.047287304,0.0491414,0.0642969,0.043219199,0.058783626,0.059696988,0.049193813,0.074639702,0.0558055,0.069440514,0.068874609,0.0562482,0.070479429,0.067225199,0.070708299,0.080881006,0.0563715,0.080721897,0.103359206,0.092917107,0.146718997,0.125948995
d__Bacteria;p__Nitrospirota,0.93922234,0.742208155,0.676509771,0.566145199,0.665062126,0.622216802,0.546047785,0.721386975,0.591858183,0.58045503,0.392087515,0.327242101,0.303176811,0.310968401,0.4321828,0.358562185,0.424759172,0.525981677,0.75093053,0.333455441,0.37363151,0.288948776,0.166194945,0.176000845,0.139046094,0.094619304,0.097813496,0.217306685,0.21966921,0.229197792,0.180618429,0.191559607,0.184898908,0.409228323,0.241389506,0.242114123,0.20404859,0.283158099,0.204405295,0.176733652,0.2060599,0.142408591,0.165343945,0.135531284,0.2213078,0.232598998,0.283855743,0.316072903,0.405075603,0.411773185,0.583997195,0.683453188,0.481302223,0.825332702,0.51848821,0.670736608,0.700086701,0.71479939,0.839740867,0.818063543,0.871906166,0.830003018,0.946173341,0.760033101,0.709312838,0.626480073,0.7062322,0.737749199,0.666643819,0.646328921,0.697594534,0.757291412,0.599155614,0.705837476,0.748642406,0.718122049,0.754126544,0.772537253,0.71637429,0.618663372,0.629741394,0.581808598,0.6022653,0.546096099,0.536218455,0.424323476,0.457110434,0.524174801,0.370472403,0.435279194,0.321762991,0.320871535,0.325225587,0.246034509,0.296466801,0.313420865,0.289273399,0.2281179,0.258424374,0.299927594,0.310501695,0.286194222,0.2047174,0.24793149,0.206718311,0.188488915,0.216410496,0.178427692
d__Bacteria;p__TA06,0.114760245,0.079799984,0.064429469,0.0636495,0.044337502,0.0579516,0.039954699,0.054444308,0.060087098,0.08027565,0.032428301,0.0518403,0.047095411,0.0777421,0.0651234,0.065736397,0.090649838,0.081367368,0.055025095,0.070647382,0.060823702,0.019990178,0.036260772,0.019609194,0.019401799,0.0126159,0.020377799,0.051130938,0.053023602,0.033217099,0.032109947,0.044206102,0.015155601,0.058066196,0.038269101,0.042311174,0.00648,0.0602464,0.067304231,0.045608662,0.034827,0.025892498,0.035944366,0.030118096,0.0726166,0.017019478,0.048463144,0.046481342,0.0463641,0.014499099,0.031739,0.0179856,0.02216521,0.0235809,0.027288901,0.040650697,0.0192684,0.007170018,0.010117398,0.012732541,0,0,0,0.00636,0.009360001,0.01210589,0.009499995,0.0158998,0.0171815,0.025853201,0.044673502,0.009390001,0.021731,0.019076699,0.038556695,0.009450156,0,0,0.015372821,0.010901598,0,0,0,0.0308054,0,0,0.009460001,0.0136504,0,0.0123483,0.012375527,0.024873795,0.010931903,0.016586578,0,0.007510002,0.035814761,0,0.013424625,0.0129279,0,0.012443201,0.0445038,0.00577,0,0.018583401,0,0
