,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured,0.939747267,0.742208512,0.676510189,0.566145198,0.665062155,0.622216806,0.546047751,0.721382786,0.591858224,0.580461762,0.392087563,0.327242101,0.30319093,0.310968408,0.432182819,0.358562137,0.424760405,0.525979203,0.750930536,0.333361488,0.373631539,0.288949069,0.166188242,0.176482073,0.139046086,0.094619322,0.097813491,0.217300965,0.219669316,0.229197751,0.180599552,0.191559622,0.184898951,0.409235288,0.241389553,0.242113764,0.204048555,0.283158064,0.204396998,0.176733826,0.206059921,0.142408585,0.165348706,0.135533971,0.221307774,0.232591116,0.283854933,0.316073238,0.405075619,0.411773182,0.583997291,0.683453181,0.481302004,0.825332679,0.518488221,0.670731585,0.700086798,0.714797548,0.839741287,0.818054443,0.871906213,0.830361416,0.94617341,0.760033111,0.709312958,0.626475395,0.706232617,0.737749195,0.666643837,0.646329219,0.697594566,0.757291181,0.599155713,0.705837396,0.748642348,0.718110105,0.754132187,0.772537301,0.716350244,0.618663423,0.629741326,0.581808593,0.602265408,0.546096132,0.536218403,0.424323503,0.457110446,0.524174807,0.370472381,0.43527925,0.3217623,0.320871641,0.325225493,0.246046826,0.296466782,0.31342084,0.289272256,0.228117923,0.258423898,0.299927498,0.310501727,0.286194241,0.204717423,0.247931456,0.206718341,0.188488968,0.216410462,0.17842767
d__Bacteria;p__TA06;c__TA06;o__TA06;f__TA06,0.114824384,0.079839123,0.064429508,0.0636495,0.044337504,0.057951601,0.039954696,0.054443991,0.060087102,0.080276581,0.032428305,0.0518403,0.047097605,0.077742102,0.065123403,0.065736388,0.090650101,0.081366985,0.055025095,0.070627476,0.060823706,0.019990198,0.036259309,0.019609097,0.019401798,0.012615903,0.020377798,0.051129592,0.053023628,0.033217093,0.032106591,0.044206105,0.015155604,0.058067184,0.038269108,0.042311111,0.006479999,0.060246392,0.067301499,0.045608707,0.034827004,0.025892497,0.035945401,0.030118694,0.072616591,0.017018901,0.048463006,0.046481391,0.046364102,0.014499099,0.031739005,0.017985599,0.0221652,0.023580899,0.027288901,0.040650393,0.019268403,0.007169999,0.010117403,0.012732399,0,0,0,0.00636,0.009360002,0.0121058,0.0095,0.0158998,0.017181501,0.025853213,0.044673504,0.009389999,0.021731004,0.019076697,0.038556692,0.009449999,0,0,0.015372305,0.010901599,0,0,0,0.030805402,0,0,0.009460001,0.0136504,0,0.012348301,0.0123755,0.024873803,0.0109319,0.016587409,0,0.007510001,0.035814619,0,0.0134246,0.012927896,0,0.012443202,0.044503805,0.005769999,0,0.018583407,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Beutenbergiaceae,0.175258375,0.085753125,0.131543617,0.157448699,0.129845511,0.073202001,0.083238993,0.091874185,0.072104603,0.080276581,0.094336815,0.0648004,0.067702807,0.091262502,0.091764804,0.092628584,0.126910101,0.124956377,0.142417888,0.084752872,0.078201908,0.081777991,0.042302511,0.052290992,0,0.063079515,0.032604497,0.044738393,0.050498727,0.069755885,0.07424648,0.055994306,0.057591516,0.138255162,0.105975923,0.07521982,0.051821889,0.114468185,0.089735299,0.082665812,0.092872109,0.074440892,0.035945401,0.033130493,0.048411094,0.053893104,0.062309607,0.05267889,0.058565203,0.052196598,0.034912905,0.056954398,0.0379975,0.033686999,0.040933302,0.047425492,0.041748306,0.059118596,0.040469414,0.025464698,0.017555206,0.040837406,0.056069507,0.0254404,0.028073106,0.0363174,0,0,0.034363102,0.042011421,0,0.043810193,0.05277541,0.031794495,0.032130593,0.028346496,0,0.069702609,0.024595708,0.027253897,0.023432197,0.0394893,0.030797706,0.033605902,0,0.0456964,0,0.0273008,0,0,0,0,0.0163979,0.024881113,0,0.016890902,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae,0.036260295,0.065054119,0.037583905,0.0167499,0.015834801,0,0,0,0,0,0,0.0259202,0,0,0.038482002,0.050796291,0.0259,0.05230729,0.035604497,0.019775693,0,0.039980396,0.07856172,0.156872976,0.135812387,0.160852838,0.191551383,0.127824079,0.080797943,0.189337259,0.072239781,0.050100206,0.087902824,0.038711489,0.032381507,0.051713614,0.029149794,0.036147795,0.0373897,0.031356005,0.043533804,0.051784995,0.035945401,0.036142392,0.048411094,0.014182401,0,0.012394998,0,0.020298699,0.012695602,0.023980799,0,0,0,0.016937697,0,0.016123299,0,0.066844895,0.039011414,0.029947504,0.021026102,0.063601101,0.037430808,0.066581899,0.057005301,0.092218699,0.123707107,0.06140123,0.058419206,0.053198092,0.096237418,0.06676839,0.09639168,0.07559059,0.11940423,0.098745413,0.119904141,0.065409392,0.061509593,0.068448099,0.075283214,0.084014805,0.142780074,0.101184801,0.047287305,0.049141401,0.042864598,0.033958004,0.0587835,0.059697008,0.046460799,0.055291428,0.055805497,0.069440509,0.068874337,0.056248206,0.070479299,0.067225177,0.070708306,0.080881012,0.056371506,0.080721886,0.10335922,0.092917133,0.146718974,0.125948979
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae,0.00302,0,0,0,0,0,0.006659999,0,0,0,0,0,0,0.00676,0,0,0,0,0,0.005649998,0,0,0.012086403,0.016340897,0,0.022077805,0.008149999,0.022369196,0.030299216,0.013286797,0.014046596,0.023576603,0.015155604,0.038711489,0.064763014,0.063466717,0.080971682,0.07530799,0.082257299,0.051309808,0.046436005,0.042075296,0.050323502,0.04818989,0,0.059566004,0.048463006,0.024790095,0.053684702,0.031897899,0.034912905,0.026978399,0.0316646,0.080848898,0.037522202,0.033875294,0.051382507,0.082407694,0.060704221,0.073211095,0.050714918,0.07078491,0.094617311,0.127202202,0.08796232,0.081714199,0.114010603,0.136737999,0.116834507,0.090486045,0.10309281,0.12830138,0.130386225,0.073127289,0.125309275,0.122834584,0.085887321,0.110362514,0.104531836,0.122642485,0.108374087,0.118467799,0.092393017,0.081214305,0.088840884,0.084864701,0.09772711,0.106473001,0.113284994,0.080264309,0.1144731,0.126856216,0.114785497,0.088466245,0.104635294,0.110729514,0.096424052,0.071872807,0.114109299,0.085324171,0.11067391,0.093324213,0.115709813,0.080721886,0.094745919,0.087607531,0.106371281,0.12245038
d__Bacteria;p__Modulibacteria;c__Moduliflexia;o__Moduliflexales;f__Moduliflexaceae,0.407928842,0.38441081,0.354362446,0.499145798,0.468710438,0.564265206,0.802423829,1.000408142,1.00645944,1.293688693,1.025913365,1.075686904,0.827151883,0.73009972,0.822923536,0.905369341,0.603470607,0.65093558,1.019582413,0.723224857,0.66906107,0.57062894,0.359570991,0.333355048,0.274858473,0.201854547,0.183400184,0.293995452,0.290367554,0.298953636,0.278925925,0.221030326,0.284926278,0.323517111,0.344421576,0.211555656,0.123076873,0.243997969,0.169499999,0.148228422,0.153819416,0.110042988,0.075485303,0.084332282,0.16598078,0.14466031,0.183467221,0.145641571,0.148853107,0.124691895,0.177738328,0.212829694,0.148823701,0.316658192,0.24901081,0.250677457,0.266546837,0.426370469,0.478888564,0.404252572,0.41742265,0.392039455,0.441547551,0.391146706,0.351849178,0.348041897,0.487712212,0.438833597,0.553245631,0.552611472,0.446735442,0.456878128,0.543275902,0.540506121,0.507662997,0.522834531,0.760416589,0.528578169,0.534956882,0.430611546,0.477431744,0.471238594,0.547513999,0.557298132,0.542564202,0.548356603,0.548532555,0.485953806,0.544992472,0.527891861,0.563083999,0.420366653,0.535665488,0.588853602,0.589445763,0.604320377,0.573034609,0.60935606,0.644381795,0.61536849,0.633300554,0.706153301,0.753597484,0.634243288,0.65460823,0.554847799,0.73726287,0.594759001
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__1-20;f__1-20,0.56505702,0.499734043,0.432214857,0.338347099,0.202685617,0.173854702,0.236398679,0.25520616,0.171248307,0.206866651,0.179829629,0.145800901,0.229600823,0.192665205,0.210171109,0.310753845,0.357420404,0.313843942,0.368991669,0.262734012,0.315704133,0.318025666,0.247771663,0.19609117,0.158447884,0.217624451,0.185437984,0.271626156,0.270168043,0.219232653,0.300999219,0.288812934,0.21824136,0.381584295,0.400353388,0.289126076,0.27206474,0.412687848,0.338999997,0.233744835,0.307638731,0.255688273,0.204888607,0.195771258,0.290466465,0.181534512,0.297701534,0.281986844,0.329429015,0.321879086,0.326911551,0.326738591,0.265982702,0.353713991,0.351344014,0.359078538,0.337197747,0.352920074,0.411439541,0.318309078,0.327696318,0.362092051,0.34342584,0.298925104,0.316289971,0.272380598,0.310362307,0.324355298,0.302395117,0.358712677,0.388316237,0.391162739,0.341487664,0.365636446,0.359862427,0.30236216,0.245092961,0.328183143,0.288999699,0.376103753,0.348554459,0.363301296,0.273757049,0.299652717,0.27604145,0.244802001,0.242741425,0.311228804,0.306175584,0.234618627,0.2475094,0.263661933,0.240502895,0.287515347,0.265076184,0.262748034,0.281007351,0.246867324,0.234930898,0.253387014,0.239793421,0.220867332,0.255155028,0.250814356,0.312948662,0.273441698,0.249422256,0.269390855
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__CCM11a;f__CCM11a,0.132954581,0.115323233,0.064429508,0.0602995,0.069673206,0.070151901,0.063261594,0.085068687,0.069100203,0.064838785,0.041272407,0.0712805,0.085364409,0.087882402,0.056243002,0.107568581,0.106190101,0.101708681,0.129470789,0.124304258,0.069512807,0.074508892,0.036259309,0.06209559,0.029102697,0.037847709,0.020377798,0.070303289,0.047973725,0.049825589,0.054179885,0.044206105,0.084871623,0.069127581,0.088313219,0.054064214,0.055060688,0.063258692,0.082257299,0.051309808,0.066751807,0.032365597,0.032350801,0.042166091,0.048411094,0.048220103,0.076156209,0.061975088,0.070766203,0.055096398,0.085695213,0.059951998,0.0569963,0.107798597,0.092099904,0.064363089,0.093130813,0.100322493,0.094428732,0.070027995,0.05461602,0.06806241,0.059573907,0.044520801,0.065503815,0.0514497,0.082341002,0.0508793,0.051544603,0.084022841,0.116838511,0.078232588,0.071402013,0.085845087,0.089965582,0.100787387,0.108930227,0.066798309,0.086085029,0.084487089,0.061509593,0.055284999,0.05475141,0.058810403,0.050766291,0.0424324,0.059897206,0.054601501,0.045926298,0.055567606,0.0371264,0.037310605,0.076523598,0.033174817,0.041854097,0.050672806,0.041324622,0.049998405,0.0570546,0.082738572,0.076856907,0.043551306,0.077139909,0.051892591,0.040195208,0.061059822,0.051351591,0.045481592
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae,0.196410172,0.195162356,0.102013413,0.127298899,0.091841908,0.103702801,0.049943396,0.115693482,0.093135004,0.061751285,0.085492814,0.0615604,0.070646407,0.077742102,0.103605505,0.095616583,0.121730101,0.156921971,0.181259085,0.079102673,0.083994709,0.070874292,0.03928091,0.039218194,0,0.059925614,0.022415598,0.073498888,0.065648335,0.056468988,0.084279777,0.067782608,0.07274712,0.141020261,0.108919624,0.091674124,0.068016185,0.090369589,0.102198499,0.034206605,0.066751807,0.045311795,0.046729002,0.069272885,0.069158692,0.053893104,0.09000281,0.04958009,0.082967304,0.081194697,0.044434607,0.065947198,0.063329201,0.060636698,0.057988802,0.050812991,0.089919413,0.041203897,0.047214416,0.035013998,0.039011414,0.06806241,0.066582608,0.034980601,0.011229203,0.0211852,0.041170501,0,0.041235702,0.038779719,0.034364303,0.06571539,0.065193112,0.057230092,0.05140889,0.07244089,0.046085811,0.037755605,0.039968014,0.054507793,0.055651593,0.0289588,0,0.030805402,0.05393909,0.0456964,0.037829804,0.051871501,0.033679298,0.027783803,0.0309387,0.047260206,0.0218639,0.022116611,0.038366298,0.033781904,0.024794813,0.046873505,0.0369177,0.023270192,0.024594202,0.031108104,0,0.017297497,0.025839805,0.015928606,0.018339897,0.034985794
d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15,0.06949899,0.053226115,0.051006707,0.0334997,0.038003503,0.036601,0.033295597,0.030624695,0.030043601,0.015437796,0,0,0.035323204,0.030420801,0.035521902,0.038844193,0.04144,0.037777493,0.058261895,0.022600792,0.028963703,0,0,0,0,0.022077805,0,0,0.022724412,0.019930196,0.010033297,0.032417804,0,0.016590595,0.020606405,0.035259309,0.025910894,0.033135496,0.0324044,0,0.029022503,0,0.039539901,0,0.024205497,0,0.041539705,0.021691296,0.056124903,0,0,0.041966399,0,0.050530599,0,0.044037892,0.028902704,0.016123299,0.037097013,0.019098499,0.009750004,0.019057503,0,0,0,0.0151323,0.0158348,0,0,0.029084814,0.044673504,0,0.024835505,0.019076697,0.041769792,0.028346496,0.020948105,0.026138503,0.027670209,0.024528497,0.032219296,0,0.030797706,0,0.028555995,0.0326403,0,0.0163805,0.018370499,0.049393406,0.0247509,0.014924302,0,0.01935201,0,0,0,0,0,0.015513495,0,0,0.020768402,0,0,0,0,0
d__Bacteria;p__Thermotogota;c__Thermotogae;o__Kosmotogales;f__Kosmotogaceae,0.114824384,0.094624227,0.099328913,0.0870993,0.088674907,0.085402301,0.059932095,0.085068687,0.090130704,0.077189082,0.097284916,0.0518403,0.061815606,0.040561101,0.115446105,0.095616583,0.098420101,0.116238479,0.132707589,0.11865406,0.107165611,0.079960692,0.048345712,0.058827391,0.019401798,0.047309711,0.016302199,0.102259283,0.073223139,0.043182191,0.072239781,0.055994306,0.054560315,0.07465778,0.117751026,0.096375325,0.093927079,0.129529784,0.092227899,0.062712009,0.072556307,0.038838696,0.035945401,0.04517799,0.065700792,0.093603706,0.093464411,0.077468885,0.100048805,0.121792095,0.114260318,0.116906497,0.079161501,0.134748197,0.092099904,0.105013582,0.128456318,0.114654192,0.104546136,0.111408192,0.076072327,0.098009914,0.091113011,0.120842102,0.119778427,0.081714199,0.129845503,0.120838199,0.123707107,0.109875954,0.092783509,0.134559979,0.133490625,0.152613478,0.125309275,0.122834584,0.108930227,0.081319711,0.098382834,0.122642485,0.131806285,0.081611199,0.099236918,0.086815305,0.085668085,0.107712901,0.110337011,0.098282801,0.094914395,0.108048012,0.1020976,0.074621309,0.073790698,0.09675995,0.090683994,0.088208211,0.107443958,0.106246711,0.097328499,0.108594463,0.126045311,0.096435014,0.100875211,0.126848678,0.114843523,0.098226635,0.117375179,0.083965986
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae,3.076085863,2.572595236,2.585235239,2.076982292,2.248543384,2.077106121,2.563760872,2.518034202,2.565720403,2.365072939,2.019398325,1.610290306,1.660190866,1.456819339,1.58960397,1.491020738,1.551411617,1.714517885,2.061822125,1.214791792,1.332329439,1.104911983,0.791660601,0.705928391,0.426839058,0.507790419,0.495180556,0.661489693,0.664057951,0.541438184,0.638118429,0.492160857,0.409202613,0.799114981,0.68295565,0.550044845,0.472874395,0.641624119,0.575801395,0.381973157,0.461458147,0.323655966,0.258806609,0.292151038,0.369998956,0.314849021,0.394627545,0.297480641,0.407515919,0.295780787,0.304694248,0.335731391,0.253316902,0.239177994,0.276299611,0.240514859,0.237644133,0.299175878,0.188857465,0.178253088,0.204810174,0.204187229,0.196243323,0.184443203,0.160952236,0.181587099,0.155181204,0.149457799,0.164942809,0.177740488,0.195876319,0.203404668,0.220414841,0.168510675,0.192783461,0.163779478,0.144542036,0.191682225,0.132201945,0.177150278,0.158167581,0.163222298,0.140300425,0.103618206,0.088840884,0.104448901,0.129251913,0.114663201,0.116346694,0.092612611,0.0866283,0.094520312,0.101120498,0.093995448,0.094171794,0.063810208,0.07438434,0.090622209,0.0570546,0.072396275,0.095302508,0,0.071206108,0.074955987,0.066035013,0.087607531,0.066023488,0.111954681
